datetime,addresses_count_active,DER_inflow_total,DER_netflow_total,DER_outflow_total,DER_reserveusd,DER_transactions_count_inflow,DER_transactions_count_outflow,estimated_leverage_ratio,exchange_whale_ratio,funding_rates,long_liquidations_usd,open_interest,put_oi,call_oi,short_liquidations_usd,SPOT_inflow_total,SPOT_netflow_total,SPOT_outflow_total,SPOT_reserve_usd,SPOT_transactions_count_inflow,SPOT_transactions_count_outflow,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume
2009-01-02,1.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-03,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-04,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-05,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-06,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-07,0.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-08,14.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-09,61.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-10,93.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-11,102.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-12,123.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-13,133.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-14,140.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-15,114.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-16,109.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-17,111.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-18,133.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-19,123.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-20,105.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-21,102.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-22,95.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-23,212.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-24,193.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-25,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-26,101.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-27,112.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-28,134.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-29,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-30,159.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-31,116.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-01,130.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-02,156.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-03,119.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-04,126.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-05,122.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-06,156.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-07,134.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-08,179.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-09,120.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-10,147.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-11,119.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-12,124.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-13,136.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-14,142.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-15,153.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-16,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-17,118.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-18,141.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-19,122.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-20,114.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-21,133.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-22,108.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-23,106.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-24,105.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-25,107.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-26,152.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-27,107.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-28,105.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-01,108.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-02,114.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-03,130.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-04,121.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-05,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-06,109.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-07,142.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-08,108.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-09,107.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-10,114.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-11,122.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-12,127.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-13,110.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-14,123.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-15,170.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-16,114.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-17,129.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-18,122.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-19,131.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-20,50.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-21,131.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-22,130.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-23,105.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-24,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-25,146.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-26,106.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-27,140.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-28,116.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-29,120.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-30,143.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,114.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,115.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-02,116.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-03,113.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-04,148.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-05,109.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-06,100.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-07,105.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-08,99.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-09,108.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-10,128.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-11,127.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-12,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-13,124.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-14,113.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-15,123.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-16,112.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-17,131.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-18,128.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-19,236.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-20,125.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-21,121.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-22,75.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-23,115.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-24,118.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-25,128.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-26,104.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-27,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-28,149.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-29,131.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-30,121.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-01,142.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-02,110.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-03,159.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-04,146.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-05,135.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-06,122.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-07,107.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-08,78.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-09,85.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-10,123.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-11,130.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-12,117.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-13,145.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-14,146.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-15,119.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-16,127.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-17,118.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-18,86.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-19,120.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-20,82.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-21,61.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-22,32.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-23,100.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-24,109.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-25,125.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-26,119.0,,,,,,,,,,,,,,,,,,,,,,,
