date,value
2023-05-20,53
2023-05-21,55
2023-05-22,61
2023-05-23,60
2023-05-24,58
2023-05-25,61
2023-05-26,60
2023-05-27,52
2023-05-28,52
2023-05-29,61
2023-05-30,58
2023-05-31,62
2023-06-01,59
2023-06-02,56
2023-06-03,54
2023-06-04,53
2023-06-05,68
2023-06-06,73
2023-06-07,65
2023-06-08,66
2023-06-09,57
2023-06-10,64
2023-06-11,64
2023-06-12,62
2023-06-13,56
2023-06-14,63
2023-06-15,67
2023-06-16,64
2023-06-17,58
2023-06-18,57
2023-06-19,59
2023-06-20,64
2023-06-21,88
2023-06-22,87
2023-06-23,80
2023-06-24,72
2023-06-25,64
2023-06-26,75
2023-06-27,68
2023-06-28,69
2023-06-29,67
2023-06-30,73
2023-07-01,62
2023-07-02,65
2023-07-03,69
2023-07-04,68
2023-07-05,66
2023-07-06,69
2023-07-07,64
2023-07-08,64
2023-07-09,60
2023-07-10,67
2023-07-11,69
2023-07-12,67
2023-07-13,73
2023-07-14,75
2023-07-15,65
2023-07-16,61
2023-07-17,65
2023-07-18,66
2023-07-19,62
2023-07-20,67
2023-07-21,62
2023-07-22,52
2023-07-23,58
2023-07-24,64
2023-07-25,63
2023-07-26,64
2023-07-27,60
2023-07-28,60
2023-07-29,56
2023-07-30,55
2023-07-31,58
2023-08-01,62
2023-08-02,63
2023-08-03,60
2023-08-04,60
2023-08-05,57
2023-08-06,56
2023-08-07,58
2023-08-08,63
2023-08-09,59
2023-08-10,60
2023-08-11,59
2023-08-12,54
2023-08-13,53
2023-08-14,59
2023-08-15,64
2023-08-16,58
2023-08-17,74
2023-08-18,100
2023-08-19,74
2023-08-20,64
2023-08-21,67
2023-08-22,68
2023-08-23,66
2023-08-24,61
2023-08-25,64
2023-08-26,54
2023-08-27,57
2023-08-28,60
2023-08-29,74
2023-08-30,70
2023-08-31,65
2023-09-01,63
