date,date_next,optionid,callput,dte,strike,underlying_price,opt_price,delta_clean,log_mny,r_daily,dhret
2023-05-30,2023-05-31,2016603239,C,3,50000.0,28070.0,1.0,0.000773,0.5773216150543549,0.00013863013698630136,0.7688897785676834
2023-05-31,2023-06-01,2016603239,C,2,50000.0,27075.0,1.0,0.000759,0.6134122125410917,0.0001391780821917808,0.11369499806602268
2023-05-31,2023-06-01,2016603240,P,2,50000.0,27075.0,22920.0,-0.999116,0.6134122125410917,0.0001391780821917808,-0.00013337417911507554
2023-06-06,2023-06-07,2016603241,C,3,50000.0,27265.0,1.0,0.000762,0.6064191770501212,0.00013835616438356136,0.49890261758304666
2023-06-07,2023-06-08,2016603241,C,2,50000.0,26610.0,1.0,0.000754,0.6307359204385482,0.00013835616438356136,-0.03029416477994129
2023-06-07,2023-06-08,2016603242,P,2,50000.0,26610.0,23385.0,-0.999009,0.6307359204385482,0.00013835616438356136,-0.00014003189380673575
2023-06-13,2023-06-14,2016603243,C,3,50000.0,25930.0,1.0,0.000746,0.656622405877573,0.00013835616438356136,0.022238566992786035
2023-06-14,2023-06-15,2016603243,C,2,50000.0,25900.0,1.0,0.000746,0.657780036722654,0.00013835616438356136,0.3205972872246443
2023-06-14,2023-06-15,2016603244,P,2,50000.0,25900.0,24095.0,-0.998876,0.657780036722654,0.00013835616438356136,-0.00011828086610787825
2023-05-22,2023-05-23,2016603247,C,2,50000.0,26865.0,1.0,0.000757,0.6211986812473612,0.00013835616438356136,-0.2536982554468491
2023-05-22,2023-05-23,2016603248,P,2,50000.0,26865.0,23130.0,-0.999112,0.6211986812473612,0.00013835616438356136,-0.00015119646461658753
2023-05-22,2023-05-23,2016603249,C,3,50000.0,26865.0,1.0,0.000757,0.6211986812473612,0.00013835616438356136,-0.2536982554468491
2023-05-23,2023-05-24,2016603249,C,2,50000.0,27200.0,1.0,0.000761,0.6088060321261943,0.00013835616438356136,0.7417340203615665
2023-05-23,2023-05-24,2016603250,P,2,50000.0,27200.0,22795.0,-0.999165,0.6088060321261943,0.00013835616438356136,-0.0001026268962256438
2023-06-20,2023-06-21,2016603251,C,3,50000.0,28180.0,1.0,0.000774,0.5734104989576119,0.00013835616438356136,-1.6098356254819537
