optionsymbol,exchange,date,futuresymbol,optionroot,expiration,securityid,strike,strikemultiplier,callput,futureexchange,futuresettlementprice,settlementprice,bid,offer,closeprice,volume,openinterest,lasttradedate,impliedvolatility,delta,vega,theta,gamma,rho,drho,optionid,exercisestyle,dte
P1E 23M50000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,50000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,3.620102,0.000757,3.674841,-2427.805773,5.1e-07,0.053123,-99.99,2016603239,E,1
P1E 23M50000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,50000.0,1.0,P,CMG,26925.0,23070.0,-99.99,-99.99,23070.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016603240,E,1
P1E 23M100000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,100000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,7.108394,0.000418,2.122012,-2752.802077,1.5e-07,0.028103,-99.99,2016618619,E,1
P1E 23M100000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,100000.0,1.0,P,CMG,26925.0,73065.0,-99.99,-99.99,73065.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618620,E,1
P1E 23M10000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,10000.0,1.0,C,CMG,26925.0,16925.0,-99.99,-99.99,16925.0,0,0,,6.334634,0.999065,3.900465,-3724.738351,3.1e-07,27.328296,-99.99,2016618621,E,1
P1E 23M10000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,10000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,5.946597,-0.000422,2.141365,-2323.87855,1.8e-07,-0.033885,-99.99,2016618622,E,1
P1E 23M1000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,1000.0,1.0,C,CMG,26925.0,25920.0,-99.99,-99.99,25920.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618623,E,1
P1E 23M1000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,1000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618624,E,1
P1E 23M15000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,15000.0,1.0,C,CMG,26925.0,11925.0,-99.99,-99.99,11925.0,0,0,,3.730417,0.998885,4.694445,-2643.258914,6.3e-07,41.013617,-99.99,2016618625,E,1
P1E 23M15000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,15000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,3.602542,-0.000695,3.395414,-2232.316422,4.7e-07,-0.054009,-99.99,2016618626,E,1
P1E 23M20000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,20000.0,1.0,C,CMG,26925.0,6925.0,-99.99,-99.99,6925.0,0,0,,1.893723,0.998726,5.382793,-1539.342557,1.43e-06,54.700514,-99.99,2016618627,E,1
P1E 23M20000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,20000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.915038,-0.001279,5.946285,-2078.147053,1.56e-06,-0.097106,-99.99,2016618628,E,1
P1E 23M21000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,21000.0,1.0,C,CMG,26925.0,5925.0,-99.99,-99.99,5925.0,0,0,,1.582771,0.998696,5.511649,-1317.447275,1.75e-06,57.438025,-99.99,2016618629,E,1
P1E 23M21000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,21000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.622893,-0.001497,6.865876,-2033.475288,2.13e-06,-0.113195,-99.99,2016618630,E,1
P1E 23M22000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,22000.0,1.0,C,CMG,26925.0,4925.0,-99.99,-99.99,4925.0,0,0,,1.286386,0.998666,5.638073,-1095.350066,2.21e-06,60.175573,-99.99,2016618631,E,1
P1E 23M22000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,22000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.341345,-0.001793,8.091009,-1980.595973,3.04e-06,-0.13501,-99.99,2016618632,E,1
P1E 23M23000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,23000.0,1.0,C,CMG,26925.0,3925.0,-99.99,-99.99,3925.0,0,0,,1.00325,0.998637,5.76223,-873.100032,2.89e-06,62.913154,-99.99,2016618633,E,1
P1E 23M23000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,23000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,1.068584,-0.002221,9.824573,-1915.908265,4.63e-06,-0.166543,-99.99,2016618634,E,1
P1E 23M24000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,24000.0,1.0,C,CMG,26925.0,2925.0,-99.99,-99.99,2925.0,0,0,,0.732217,0.998608,5.884267,-650.738582,4.05e-06,65.650767,-99.99,2016618635,E,1
P1E 23M24000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,24000.0,1.0,P,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,0.802553,-0.002902,12.512727,-1832.641341,7.85e-06,-0.216793,-99.99,2016618636,E,1
P1E 23M25000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,25000.0,1.0,C,CMG,26925.0,1930.0,-99.99,-99.99,1930.0,0,0,,0.662977,0.984293,55.137772,-6581.840553,4.187e-05,67.320803,-99.99,2016618637,E,1
P1E 23M25000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,25000.0,1.0,P,CMG,26925.0,6.0,-99.99,-99.99,6.0,0,0,,0.676082,-0.01726,60.192415,-7426.560422,4.483e-05,-1.289692,-99.99,2016618638,E,1
