model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.023854,0.024086,0.546322,1.418779,0.037894,0.023854
lgbm_gbdt#2,0.022113,0.020538,-0.000707,1.30601,-6.3e-05,0.022113
lgbm_dart#2,0.021537,0.020182,0.458376,1.390435,0.031255,0.021537
N-En,0.0112,0.020773,0.213008,1.492534,0.016576,0.0112
pcr#1,0.001653,-0.000467,0.920261,0.443397,0.011994,0.001653
pcr#2,0.001653,-0.000467,0.920261,0.443397,0.011994,0.001653
L-En,-0.002482,-0.005523,0.399142,0.034444,0.014384,-0.002482
lasso#2,-0.010611,-0.003374,0.272405,0.070662,0.009777,-0.010611
lasso#1,-0.010674,-0.003407,0.271221,0.068131,0.009738,-0.010674
elasticnet#1,-0.011094,-0.003579,0.263308,0.055547,0.009473,-0.011094
elasticnet#2,-0.012445,-0.004289,0.238387,-0.001502,0.008632,-0.012445
lgbm_dart#1,-0.012544,0.018539,0.019624,0.881516,0.00172,-0.012544
ridge#2,-0.01406,-0.006044,0.153927,-0.039505,0.005864,-0.01406
ridge#1,-0.014064,-0.006003,0.153688,-0.03674,0.005849,-0.014064
ffn#1,-0.015907,-0.000907,0.050725,0.44841,0.004412,-0.015907
ffn#2,-0.016012,-0.00131,0.052926,0.429395,0.004616,-0.016012
rf#2,-0.017492,0.017979,-0.357526,1.220011,-0.030032,-0.017492
rf#1,-0.017492,0.017979,-0.357526,1.220011,-0.030032,-0.017492
pls#2,-0.051697,-0.036119,-0.676868,-0.750318,-0.040345,-0.051697
pls#1,-0.053224,-0.038492,-0.625382,-0.796549,-0.040679,-0.053224
