model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pcr#1,0.001173,0.00083,1.173311,1.153468,0.001653
pcr#2,0.001173,0.00083,1.173311,1.153468,0.001653
L-En,-0.006043,-0.004204,0.295165,0.540803,-0.002482
lgbm_gbdt#2,-0.010446,0.014716,-0.416874,1.089303,0.022113
lgbm_gbdt#1,-0.013638,0.014462,0.243132,1.226831,0.023854
N-En,-0.014111,0.016924,-0.093071,1.483997,0.0112
ffn#2,-0.015991,-0.000614,-0.070509,0.874298,-0.016012
ffn#1,-0.016311,-0.000272,-0.077214,0.89225,-0.015907
lgbm_dart#2,-0.021484,0.009004,0.069696,1.18569,0.021537
ridge#2,-0.023579,-0.003505,-0.030204,0.510709,-0.01406
ridge#1,-0.02373,-0.003546,-0.032564,0.509142,-0.014064
lasso#2,-0.029971,-0.006785,-0.05359,0.200415,-0.010611
lasso#1,-0.030115,-0.006826,-0.055463,0.197459,-0.010674
elasticnet#1,-0.03105,-0.007027,-0.067196,0.184657,-0.011094
lgbm_dart#1,-0.032165,0.020929,-0.147907,0.882445,-0.012544
elasticnet#2,-0.034067,-0.007898,-0.104911,0.12021,-0.012445
pls#2,-0.050022,-0.023454,-0.856167,0.109856,-0.051697
pls#1,-0.050091,-0.033696,-0.862493,-0.13323,-0.053224
rf#2,-0.050945,0.012254,-0.843763,1.276251,-0.017492
rf#1,-0.050945,0.012254,-0.843763,1.276251,-0.017492
