group,model,ic
2023-03-03,ridge#1,-0.6500000000000001
2023-03-06,ridge#1,-0.22982456140350876
2023-03-07,ridge#1,-0.6588235294117647
2023-03-10,ridge#1,-0.21362229102167182
2023-03-13,ridge#1,0.08421052631578953
2023-03-14,ridge#1,-0.015384615384615186
2023-03-15,ridge#1,-0.07946336429308562
2023-03-17,ridge#1,0.10329670329670324
2023-03-21,ridge#1,0.27647058823529413
2023-03-24,ridge#1,0.4642857142857143
2023-03-31,ridge#1,-0.2649572649572649
2023-03-03,ridge#2,-0.6500000000000001
2023-03-06,ridge#2,-0.22982456140350876
2023-03-07,ridge#2,-0.6588235294117647
2023-03-10,ridge#2,-0.21362229102167182
2023-03-13,ridge#2,0.08421052631578953
2023-03-14,ridge#2,-0.015384615384615186
2023-03-15,ridge#2,-0.07946336429308562
2023-03-17,ridge#2,0.10329670329670324
2023-03-21,ridge#2,0.27647058823529413
2023-03-24,ridge#2,0.4642857142857143
2023-03-31,ridge#2,-0.2649572649572649
2023-03-03,lasso#1,-0.7321428571428572
2023-03-06,lasso#1,-0.2017543859649123
2023-03-07,lasso#1,-0.7705882352941178
2023-03-10,lasso#1,-0.20123839009287925
2023-03-13,lasso#1,0.15964912280701757
2023-03-14,lasso#1,-0.015384615384615186
2023-03-15,lasso#1,-0.021671826625387032
2023-03-17,lasso#1,0.06813186813186817
2023-03-21,lasso#1,0.10000000000000005
2023-03-24,lasso#1,0.2
2023-03-31,lasso#1,-0.019536019536019456
2023-03-03,lasso#2,-0.7321428571428572
2023-03-06,lasso#2,-0.2017543859649123
2023-03-07,lasso#2,-0.7705882352941178
2023-03-10,lasso#2,-0.20123839009287925
2023-03-13,lasso#2,0.17719298245614037
2023-03-14,lasso#2,-0.015384615384615186
2023-03-15,lasso#2,-0.021671826625387032
2023-03-17,lasso#2,0.06813186813186817
2023-03-21,lasso#2,0.10000000000000005
2023-03-24,lasso#2,0.22857142857142862
2023-03-31,lasso#2,-0.019536019536019456
2023-03-03,elasticnet#1,-0.7321428571428572
2023-03-06,elasticnet#1,-0.2017543859649123
2023-03-07,elasticnet#1,-0.7705882352941178
2023-03-10,elasticnet#1,-0.20123839009287925
2023-03-13,elasticnet#1,0.15438596491228077
2023-03-14,elasticnet#1,-0.015384615384615186
2023-03-15,elasticnet#1,-0.0402476780185759
2023-03-17,elasticnet#1,0.06813186813186817
2023-03-21,elasticnet#1,0.10000000000000005
2023-03-24,elasticnet#1,0.2
2023-03-31,elasticnet#1,-0.015873015873015865
2023-03-03,elasticnet#2,-0.7321428571428572
2023-03-06,elasticnet#2,-0.2017543859649123
2023-03-07,elasticnet#2,-0.7705882352941178
2023-03-10,elasticnet#2,-0.19917440660474728
2023-03-13,elasticnet#2,0.15438596491228077
2023-03-14,elasticnet#2,-0.015384615384615186
2023-03-15,elasticnet#2,-0.056759545923632596
2023-03-17,elasticnet#2,0.06813186813186817
2023-03-21,elasticnet#2,0.12647058823529422
2023-03-24,elasticnet#2,0.2
2023-03-31,elasticnet#2,0.011599511599511619
2023-03-03,pcr#1,-0.021428571428571488
2023-03-06,pcr#1,-0.6614035087719299
2023-03-07,pcr#1,-0.5235294117647058
2023-03-10,pcr#1,-0.5087719298245614
2023-03-13,pcr#1,-0.631578947368421
2023-03-14,pcr#1,0.41978021978021984
2023-03-15,pcr#1,-0.6057791537667698
2023-03-17,pcr#1,-0.01098901098901099
2023-03-21,pcr#1,0.6029411764705882
2023-03-24,pcr#1,0.7107142857142857
2023-03-31,pcr#1,-0.2619047619047619
2023-03-03,pcr#2,-0.021428571428571488
2023-03-06,pcr#2,-0.6614035087719299
2023-03-07,pcr#2,-0.5235294117647058
2023-03-10,pcr#2,-0.5087719298245614
2023-03-13,pcr#2,-0.631578947368421
2023-03-14,pcr#2,0.41978021978021984
2023-03-15,pcr#2,-0.6057791537667698
2023-03-17,pcr#2,-0.01098901098901099
2023-03-21,pcr#2,0.6029411764705882
2023-03-24,pcr#2,0.7107142857142857
2023-03-31,pcr#2,-0.2619047619047619
2023-03-03,pls#1,-0.5500000000000003
