model,IC_mean,IC_std,N
L-En,-0.12100242378880148,0.3560146192980589,11
N-En,-0.06650675605783961,0.4469475548631454,11
elasticnet#1,-0.13224648588425678,0.33154881125598024,11
elasticnet#2,-0.12865601031235704,0.33409628517479306,11
ffn#1,-0.08493292053663569,0.5264699050011747,11
ffn#2,-0.08511643155606002,0.5162010351432428,11
lasso#1,-0.13041230355471842,0.33244215434066826,11
lasso#2,-0.12622000462557736,0.3369223859085238,11
lgbm_dart#1,-0.08031238627213862,0.2691715004287193,11
lgbm_dart#2,-0.09375587402298385,0.3450470296047904,11
lgbm_gbdt#1,-0.07802821142379708,0.3415235740495076,11
lgbm_gbdt#2,-0.026439305817147287,0.2896911733603267,11
pcr#1,-0.1356317830776035,0.5145807442908852,11
pcr#2,-0.1356317830776035,0.5145807442908852,11
pls#1,-0.10872371522526324,0.3489564907393543,11
pls#2,-0.0975867527725113,0.34401986231358833,11
rf#1,-0.08356860717541834,0.32371749952683565,11
rf#2,-0.08356860717541834,0.32371749952683565,11
ridge#1,-0.1076192813034918,0.3484413215411476,11
ridge#2,-0.1076192813034918,0.3484413215411476,11
