model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,11,0.031717,0.524261,0.200653,0.454545
N-En,11,0.050669,0.553006,0.303883,0.545455
elasticnet#1,11,0.058199,0.470356,0.410383,0.454545
elasticnet#2,11,0.059254,0.470455,0.417728,0.454545
ffn#1,11,-0.071023,0.827287,-0.284734,0.454545
ffn#2,11,-0.071124,0.827195,-0.28517,0.454545
lasso#1,11,0.058199,0.470356,0.410383,0.454545
lasso#2,11,0.073916,0.498691,0.491592,0.454545
lgbm_dart#1,11,0.222838,0.565747,1.306359,0.636364
lgbm_dart#2,11,0.053578,0.378534,0.46944,0.545455
lgbm_gbdt#1,11,0.037988,0.429228,0.293531,0.454545
lgbm_gbdt#2,11,0.092069,0.365905,0.834531,0.454545
pcr#1,11,-0.099458,0.847019,-0.389441,0.454545
pcr#2,11,-0.099458,0.847019,-0.389441,0.454545
pls#1,11,0.042643,0.529246,0.267231,0.363636
pls#2,11,0.068804,0.510105,0.447354,0.363636
rf#1,11,0.168674,0.560043,0.998903,0.545455
rf#2,11,0.168674,0.560043,0.998903,0.545455
ridge#1,11,0.05153,0.516964,0.330593,0.454545
ridge#2,11,0.05153,0.516964,0.330593,0.454545
