model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.151659,0.082699,0.836389,1.173931,0.144857,0.151659
rf#1,0.142232,0.091644,0.785109,1.197508,0.135797,0.142232
rf#2,0.142232,0.091644,0.785109,1.197508,0.135797,0.142232
ffn#1,0.128732,0.076125,0.823903,1.130816,0.128726,0.128732
lgbm_gbdt#2,0.128389,0.077201,0.788916,1.191887,0.116756,0.128389
ffn#2,0.128381,0.075706,0.823397,1.128376,0.128395,0.128381
N-En,0.127186,0.07409,0.806798,1.210561,0.120922,0.127186
pls#1,0.095364,0.0594,0.759887,1.208486,0.090162,0.095364
lgbm_gbdt#1,0.094619,0.048929,0.804852,1.307751,0.089155,0.094619
pls#2,0.093897,0.061429,0.786919,1.188758,0.089952,0.093897
lgbm_dart#2,0.084587,0.035198,0.562139,1.125198,0.062783,0.084587
L-En,0.050886,0.029878,0.8594,1.347556,0.049946,0.050886
ridge#2,0.050066,0.029385,0.891678,1.409224,0.050777,0.050066
ridge#1,0.049939,0.029321,0.890189,1.40979,0.050607,0.049939
lasso#2,0.041641,0.022521,0.829018,1.4395,0.04041,0.041641
lasso#1,0.041613,0.022477,0.828521,1.439569,0.040371,0.041613
elasticnet#1,0.041422,0.022224,0.825236,1.440485,0.040116,0.041422
elasticnet#2,0.040835,0.02131,0.814747,1.441086,0.039307,0.040835
pcr#1,0.01838,0.011355,0.908374,1.232233,0.017788,0.01838
pcr#2,0.01838,0.011355,0.908374,1.232233,0.017788,0.01838
