model,IC_mean,IC_std,N
L-En,0.2747252747252745,,1
N-En,0.33186813186813174,,1
elasticnet#1,0.29670329670329654,,1
elasticnet#2,0.29670329670329654,,1
ffn#1,0.16923076923076916,,1
ffn#2,0.12527472527472525,,1
lasso#1,0.29670329670329654,,1
lasso#2,0.29670329670329654,,1
lgbm_dart#1,0.3362637362637363,,1
lgbm_dart#2,0.1977899874131123,,1
lgbm_gbdt#1,0.2202612051973713,,1
lgbm_gbdt#2,0.03333539113704127,,1
pcr#1,-0.024175824175824256,,1
pcr#2,-0.024175824175824256,,1
pls#1,0.29230769230769216,,1
pls#2,0.23516483516483497,,1
rf#1,0.389010989010989,,1
rf#2,0.389010989010989,,1
ridge#1,0.28791208791208783,,1
ridge#2,0.28791208791208783,,1
