model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.060256,0.064132,1.621449,1.721396,0.150265
N-En,0.052156,0.0587,1.100493,1.21861,0.180766
ffn#2,0.048454,0.052517,0.99444,1.076405,0.183629
ffn#1,0.048141,0.052414,0.986339,1.070582,0.184004
lgbm_gbdt#1,0.047625,0.049938,1.256685,1.2782,0.144852
lgbm_dart#2,0.040783,0.045443,1.140093,1.207223,0.149279
lgbm_dart#1,0.039566,0.062622,0.595022,1.091874,0.195295
L-En,0.037796,0.030546,1.498588,1.239687,0.089085
pls#2,0.036389,0.039432,0.85038,0.821648,0.147726
pls#1,0.035977,0.025246,0.78821,0.550004,0.1489
ridge#2,0.029785,0.031789,1.150206,1.224257,0.091429
ridge#1,0.029655,0.031652,1.149367,1.222864,0.091249
lasso#2,0.020035,0.022372,1.030076,1.048978,0.076405
lasso#1,0.019923,0.022304,1.026645,1.046775,0.076352
elasticnet#1,0.019192,0.021851,1.005368,1.034723,0.075904
elasticnet#2,0.016834,0.02044,0.932005,0.98734,0.074808
pcr#1,0.016271,0.010527,2.14025,1.831,0.034219
pcr#2,0.016271,0.010527,2.14025,1.831,0.034219
rf#2,0.013717,0.037146,0.275732,0.568789,0.200876
rf#1,0.013717,0.037146,0.275732,0.568789,0.200876
