model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,17,2.139779,3.527777,2.500877,0.647059
N-En,17,2.134806,3.509517,2.508047,0.647059
elasticnet#1,17,2.123667,3.498913,2.502521,0.647059
elasticnet#2,17,2.19218,3.649946,2.476363,0.647059
ffn#1,17,2.093213,3.415994,2.526508,0.647059
ffn#2,17,2.093213,3.415994,2.526508,0.647059
lasso#1,17,2.095638,3.442313,2.510096,0.647059
lasso#2,17,2.095638,3.442313,2.510096,0.647059
lgbm_dart#1,17,2.047667,3.332809,2.533222,0.647059
lgbm_dart#2,17,2.126096,3.489601,2.512069,0.647059
lgbm_gbdt#1,17,2.162644,3.552226,2.510203,0.647059
lgbm_gbdt#2,17,2.146942,3.518384,2.515947,0.647059
pcr#1,17,1.895863,3.082798,2.535632,0.647059
pcr#2,17,1.895863,3.082798,2.535632,0.647059
pls#1,17,2.149025,3.554433,2.492846,0.647059
pls#2,17,2.115958,3.466618,2.516666,0.647059
rf#1,17,2.06597,3.380402,2.519881,0.647059
rf#2,17,2.06597,3.380402,2.519881,0.647059
ridge#1,17,2.106485,3.451741,2.516197,0.647059
ridge#2,17,2.105238,3.452461,2.514184,0.647059
