model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.054793,0.065097,0.978364,1.939189,0.147746
ffn#2,0.045668,0.054059,0.979053,1.362828,0.177266
ffn#1,0.04547,0.054023,0.978416,1.360806,0.177639
N-En,0.043156,0.058813,0.66392,1.55382,0.174596
lgbm_gbdt#1,0.037631,0.048173,0.571059,1.510222,0.139067
L-En,0.033548,0.031033,1.130514,1.575753,0.084686
pls#2,0.032463,0.041243,0.713068,1.100189,0.141527
ridge#2,0.028995,0.032825,1.280944,1.515431,0.086666
ridge#1,0.028803,0.032684,1.271159,1.51543,0.086492
pls#1,0.027106,0.027897,0.371023,0.846454,0.142735
lgbm_dart#1,0.016528,0.05448,-0.329124,0.900718,0.19027
lasso#2,0.016001,0.022921,0.564679,1.384491,0.072402
lasso#1,0.015875,0.022852,0.558515,1.382142,0.072352
elasticnet#1,0.01506,0.022393,0.520537,1.369668,0.071933
pcr#1,0.013462,0.009798,0.973027,1.89997,0.032395
pcr#2,0.013462,0.009798,0.973027,1.89997,0.032395
elasticnet#2,0.012396,0.020945,0.39288,1.316891,0.070895
rf#1,0.010583,0.043443,0.262407,1.054936,0.194122
rf#2,0.010583,0.043443,0.262407,1.054936,0.194122
lgbm_dart#2,0.002347,0.037309,-0.736347,0.748441,0.141829
