model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.203372,0.115765,2.10018,2.143328,0.185,0.203372
rf#2,0.203372,0.115765,2.10018,2.143328,0.185,0.203372
lgbm_dart#1,0.199056,0.140904,2.118501,2.412814,0.182252,0.199056
ffn#1,0.18577,0.081443,2.096223,2.336355,0.169153,0.18577
ffn#2,0.185382,0.081169,2.096937,2.336072,0.168828,0.185382
N-En,0.181562,0.103742,2.203504,2.473498,0.163253,0.181562
lgbm_gbdt#2,0.152918,0.095917,2.244511,2.64446,0.144331,0.152918
pls#1,0.150811,0.066095,2.186463,2.415173,0.134888,0.150811
pls#2,0.149398,0.067312,2.197733,2.370165,0.133394,0.149398
lgbm_dart#2,0.147465,0.092097,2.366144,2.541499,0.123987,0.147465
lgbm_gbdt#1,0.143992,0.081147,2.319478,2.546266,0.125555,0.143992
ridge#2,0.09077,0.03312,2.447389,2.750351,0.076494,0.09077
ridge#1,0.09059,0.033046,2.448241,2.753356,0.076346,0.09059
L-En,0.088272,0.03423,2.457093,2.7827,0.075824,0.088272
lasso#2,0.075881,0.026328,2.514441,2.981582,0.0645,0.075881
lasso#1,0.075833,0.026297,2.514496,2.98237,0.064462,0.075833
elasticnet#1,0.07542,0.026062,2.514526,2.988423,0.064146,0.07542
elasticnet#2,0.074414,0.025433,2.515422,3.004315,0.063358,0.074414
pcr#1,0.033696,0.013358,2.61871,2.697743,0.028354,0.033696
pcr#2,0.033696,0.013358,2.61871,2.697743,0.028354,0.033696
