model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#1,0.130331,0.070163,1.535793,1.991702,0.203372
rf#2,0.130331,0.070163,1.535793,1.991702,0.203372
ffn#1,0.124732,0.056217,1.572558,2.028398,0.18577
ffn#2,0.124367,0.055998,1.573077,2.033379,0.185382
N-En,0.123601,0.069629,1.608617,2.346029,0.181562
lgbm_dart#1,0.115663,0.083437,1.46545,2.149986,0.199056
lgbm_gbdt#2,0.11104,0.069617,1.597227,2.345555,0.152918
lgbm_gbdt#1,0.10259,0.055597,1.713395,2.303673,0.143992
lgbm_dart#2,0.102018,0.059458,1.720023,2.250305,0.147465
pls#1,0.100367,0.047776,1.626783,1.936302,0.150811
pls#2,0.098299,0.046887,1.633118,1.941433,0.149398
ridge#2,0.069703,0.027313,1.807762,2.381219,0.09077
ridge#1,0.069608,0.027277,1.808846,2.385784,0.09059
L-En,0.068921,0.028463,1.852045,2.491218,0.088272
lasso#2,0.061262,0.023058,1.910253,2.922375,0.075881
lasso#1,0.06124,0.023045,1.910455,2.922399,0.075833
elasticnet#1,0.06104,0.022941,1.911222,2.919545,0.07542
elasticnet#2,0.06057,0.022663,1.915395,2.916815,0.074414
pcr#1,0.02873,0.011581,1.959415,2.02647,0.033696
pcr#2,0.02873,0.011581,1.959415,2.02647,0.033696
