model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,18,2.034936,3.451231,2.501572,0.666667
N-En,18,2.05201,3.422805,2.543511,0.666667
elasticnet#1,18,2.019719,3.422973,2.503363,0.666667
elasticnet#2,18,2.084426,3.570357,2.476915,0.666667
ffn#1,18,1.990957,3.342277,2.527293,0.666667
ffn#2,18,1.990957,3.342277,2.527293,0.666667
lasso#1,18,1.993247,3.367669,2.511123,0.666667
lasso#2,18,1.993247,3.367669,2.511123,0.666667
lgbm_dart#1,18,1.989984,3.242549,2.60375,0.666667
lgbm_dart#2,18,2.042197,3.404072,2.545278,0.666667
lgbm_gbdt#1,18,2.076714,3.465396,2.542495,0.666667
lgbm_gbdt#2,18,2.035875,3.445706,2.506738,0.666667
pcr#1,18,1.801022,3.0177,2.53209,0.666667
pcr#2,18,1.801022,3.0177,2.53209,0.666667
pls#1,18,2.043668,3.477157,2.493574,0.666667
pls#2,18,2.012438,3.39167,2.51736,0.666667
rf#1,18,2.006085,3.289299,2.587511,0.666667
rf#2,18,2.006085,3.289299,2.587511,0.666667
ridge#1,18,2.003492,3.37707,2.517003,0.666667
ridge#2,18,2.002314,3.377724,2.515037,0.666667
