model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#1,-0.014219,0.015244,-0.849218,1.202056,0.005104
lgbm_dart#2,-0.01944,0.007332,-0.371368,0.938852,0.004346
lgbm_dart#1,-0.020187,0.007943,-0.68526,1.0351,-0.00589
lgbm_gbdt#2,-0.02184,0.011585,-0.979624,1.064386,-0.005157
L-En,-0.025113,-0.007044,-0.036418,0.497828,-0.018294
pcr#2,-0.027115,0.003067,-0.887778,1.228863,-0.022545
pcr#1,-0.027115,0.003067,-0.887778,1.228863,-0.022545
N-En,-0.029887,0.015176,-0.727401,1.242451,-0.018124
elasticnet#2,-0.030732,-0.004484,-0.060301,0.438239,-0.016606
elasticnet#1,-0.032949,-0.005559,-0.086264,0.364405,-0.017596
lasso#1,-0.037214,-0.007369,-0.143803,0.251333,-0.019714
rf#1,-0.03748,0.039103,-0.652069,1.826678,-0.015347
lasso#2,-0.03834,-0.007816,-0.145236,0.212892,-0.019958
ridge#1,-0.038623,-0.005046,-0.236766,0.470236,-0.02517
ridge#2,-0.038758,-0.005042,-0.239309,0.470652,-0.025334
rf#2,-0.046015,0.013852,-1.282764,1.227712,-0.025146
pls#1,-0.093684,-0.049196,-1.187308,-0.367752,-0.113968
ffn#2,-0.099977,-0.01453,-1.292897,0.062032,-0.143959
pls#2,-0.122123,-0.036026,-1.479217,-0.259538,-0.154417
ffn#1,-0.150991,-0.014683,-1.530589,0.118902,-0.200296
