model,IC_mean,IC_std,N
L-En,-0.13896660614926873,0.36941771691070574,11
N-En,-0.05387928205265669,0.4207625106040712,11
elasticnet#1,-0.135132033429247,0.35031420027827553,11
elasticnet#2,-0.13806744511078872,0.34548923280800997,11
ffn#1,-0.07238507966062145,0.4172501495872825,11
ffn#2,-0.07675131026524218,0.4444672373787503,11
lasso#1,-0.14047197212831886,0.3495805416881691,11
lasso#2,-0.13642605244772427,0.3532375548748993,11
lgbm_dart#1,-0.0656619961842537,0.38949219855574746,11
lgbm_dart#2,-0.056686904390872025,0.3536157819082214,11
lgbm_gbdt#1,-0.05562012316268343,0.3279830542034867,11
lgbm_gbdt#2,-0.06262968616341504,0.32576664769468194,11
pcr#1,-0.20777614198666833,0.33066337054805994,11
pcr#2,-0.20777614198666833,0.33066337054805994,11
pls#1,-0.1137896589134979,0.4722609710253505,11
pls#2,-0.12933687399631674,0.395291379857589,11
rf#1,-0.0458462661405022,0.37857668110117426,11
rf#2,-0.15392882830963328,0.3709024887529406,11
ridge#1,-0.134437131495955,0.349037422979277,11
ridge#2,-0.1292423263011498,0.35240298741437015,11
