model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,11,-0.016572,0.563506,-0.097537,0.454545
N-En,11,0.056312,0.489715,0.381375,0.545455
elasticnet#1,11,-0.015756,0.561218,-0.093113,0.454545
elasticnet#2,11,0.004903,0.59043,0.027544,0.454545
ffn#1,11,0.039787,0.517421,0.255032,0.545455
ffn#2,11,0.034063,0.522868,0.216067,0.545455
lasso#1,11,-0.015756,0.561218,-0.093113,0.454545
lasso#2,11,-0.015756,0.561218,-0.093113,0.454545
lgbm_dart#1,11,0.013051,0.575549,0.075209,0.363636
lgbm_dart#2,11,0.035974,0.432123,0.276106,0.454545
lgbm_gbdt#1,11,0.101714,0.276316,1.220877,0.636364
lgbm_gbdt#2,11,0.122137,0.300227,1.349252,0.636364
pcr#1,11,-0.010806,0.613431,-0.058422,0.454545
pcr#2,11,-0.010806,0.613431,-0.058422,0.454545
pls#1,11,-0.008139,0.571658,-0.047223,0.545455
pls#2,11,-0.032254,0.623356,-0.171613,0.363636
rf#1,11,0.049312,0.367611,0.444894,0.545455
rf#2,11,-0.01338,0.348727,-0.127253,0.454545
ridge#1,11,-0.028246,0.640631,-0.146233,0.454545
ridge#2,11,-0.028246,0.640631,-0.146233,0.454545
