feature,coef,intercept
moneyness_std,0.10785425676550463,0.31374872100587625
tau,-0.05873211797171867,0.31374872100587625
is_call,0.06383733438259707,0.31374872100587625
delta_model,-0.029745759918313814,0.31374872100587625
theta_model,-0.00802341097767337,0.31374872100587625
gamma_model,-0.06901365839391838,0.31374872100587625
vega_model,-0.06986565660425832,0.31374872100587625
iv,0.10805573488645945,0.31374872100587625
log_mid_t,-0.2338038916145894,0.31374872100587625
opt_rel_spread_final,0.2188060502172224,0.31374872100587625
opt_rel_spread_chg,0.03254353258131143,0.31374872100587625
baspread_chg,0.03254353258131143,0.31374872100587625
log_open_interest_opt,-0.016954470308732525,0.31374872100587625
d_log_open_interest_opt,0.05625771915499685,0.31374872100587625
atm_iv,-0.0033273485271464857,0.31374872100587625
smile_slope,0.02158261635995702,0.31374872100587625
convexity_proxy,0.08450378730294457,0.31374872100587625
rr25_proxy,-0.05587920917506233,0.31374872100587625
bf25_proxy,-0.03968166968205343,0.31374872100587625
ivrv_ratio_pred,-0.14218669947572618,0.31374872100587625
d_iv_atm,0.03097876340939891,0.31374872100587625
atm_ivchg_proxy,0.03097876340939891,0.31374872100587625
dist_to_wall,0.01144283718408925,0.31374872100587625
ddist_to_wall,-0.06832092664712229,0.31374872100587625
gex_proxy,-0.01694093565319208,0.31374872100587625
dgex_proxy,-0.15932644993190506,0.31374872100587625
ddist_to_wall_date,0.0297715982276079,0.31374872100587625
dgex_proxy_date,0.03563828510120955,0.31374872100587625
oi_herf_date,0.012300479683358316,0.31374872100587625
log_pcr_oi_opt,0.024003924294369303,0.31374872100587625
d_log_pcr_oi_opt,-0.10630357130654383,0.31374872100587625
