model,params,score_mean,fold_scores,n_splits,gap,min_train_days,use_trva,best_iteration_median
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.430375245218266}",0.026793539299213354,"[-0.014884276754683068, 0.06847135535310978]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 13.981961408994046}",0.030359247047821114,"[-0.007859042402632355, 0.06857753649827458]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.431172050131989}",0.02768793088143756,"[-0.013120033997629621, 0.06849589576050474]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 4.31171005868549}",0.02673643458221936,"[-0.014996988648407816, 0.06846985781284654]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.8662266976517967}",0.025417015261944453,"[-0.017603866588028483, 0.06843789711191739]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.663279761354557}",0.028568912791235523,"[-0.011383934590225353, 0.0685217601726964]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0547625125911337}",0.025530478895069153,"[-0.01737947976373677, 0.06844043755387508]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 47.34989304499475}",0.03775100303411211,"[0.006706109150483419, 0.0687958969177408]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 77.80155576901412}",0.04201841353235236,"[0.015154462634238586, 0.06888236443046614]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.4135935551752299}",0.025134372809611505,"[-0.018162998758519677, 0.06843174437774269]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 23.72330072992193}",0.033005264871335926,"[-0.0026510169474889267, 0.06866154669016078]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.860866271460544}",0.026514533452697442,"[-0.015435057229042037, 0.06846412413443692]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.059803874660431}",0.027088124320113927,"[-0.014302970159386641, 0.0684792187996145]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 59.812219011525556}",0.03968638639307098,"[0.010532819894299439, 0.06883995289184253]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.16334587611069498}",0.02426294173841831,"[-0.019888464330265032, 0.06841434780710165]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.18255254802399}",0.024277521971754534,"[-0.019859575654711525, 0.0684146195982206]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.11498870747119451}",0.024226044310258488,"[-0.019961574254711678, 0.06841366287522865]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 31.46730406166004}",0.03476071334375341,"[0.0008066495136651586, 0.06871477717384167]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.600820741402043}",0.03247777216982228,"[-0.003689464067202941, 0.06864500840684751]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 40.7414465416623}",0.036589616069231556,"[0.004413142894380884, 0.06876608924408223]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 86.26905220714896}",0.04296472461272127,"[0.01703363062387886, 0.06889581860156369]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 24.973286104060584}",0.03330565872712232,"[-0.002059553722469021, 0.06867087117671367]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.4234724484675927}",0.025745767321710522,"[-0.01695383350797508, 0.06844536815139612]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.957734465394555}",0.03256808875686085,"[-0.0035116757663420373, 0.06864785328006373]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.2263722969739548}",0.02431062925333205,"[-0.01979398064225424, 0.06841523914891834]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 8.313101133778733}",0.028437167177087275,"[-0.011643469631680281, 0.06851780398585483]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.26919058249260697}",0.024342771000518904,"[-0.019730301818925877, 0.06841584381996368]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 68.23493012435793}",0.040838013932323614,"[0.01281356735791861, 0.06886246050672862]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 3.6774346621052136}",0.026421879643632074,"[-0.015618011896010975, 0.06846177118327512]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.7538232373118046}",0.0253482134802262,"[-0.017739949325477955, 0.06843637628593036]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.6218230782016851}",0.024599982316012625,"[-0.01922083203756686, 0.06842079666959211]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 21.023308743480115}",0.03233018302426488,"[-0.003979983132988751, 0.06864034918151851]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.3358825194833552}",0.02569538272005495,"[-0.017053435895500568, 0.06844420133561047]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.073432032394333}",0.027094355976247264,"[-0.014290675628596095, 0.06847938758109062]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.11385953381489414}",0.024225179483593595,"[-0.019963287903520976, 0.06841364687070817]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 7.126995609048578}",0.02797373618879684,"[-0.012556652775967736, 0.06850412515356141]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 6.859416411328697}",0.027865150160093888,"[-0.01277067839728585, 0.06850097871747363]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 7.092543214735832}",0.0279598441753221,"[-0.01258403294661492, 0.06850372129725912]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 67.80227021579829}",0.04078156289322876,"[0.012701699480144657, 0.06886142630631287]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 11.103525577197582}",0.029433856007137105,"[-0.009680615947005533, 0.06854832796127974]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.198184512601387}",0.024994355713847893,"[-0.01844007799174996, 0.06842878941944575]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.046896396312667}",0.025525792211960774,"[-0.017388747398497495, 0.06844033182241904]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 12.384930898256401}",0.029856762025263384,"[-0.008848081270808716, 0.06856160532133548]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.1515920461138471}",0.02425399823417329,"[-0.019906184941037797, 0.06841418140938438]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.006913513545575}",0.029055799716527386,"[-0.010425002380369586, 0.06853660181342436]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 10.278118224157009}",0.029150801952127547,"[-0.010237929773444066, 0.06853953367769916]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.42770830499620704}",0.024460012616992377,"[-0.019498050959311675, 0.06841807619329643]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.24365700014641997}",0.024323628785010598,"[-0.01976822575557402, 0.06841548332559522]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.8836597074694355}",0.024782896542418664,"[-0.01885865028770528, 0.06842444337254261]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 1.2334805700860019}",0.025017556763914983,"[-0.018394161273564302, 0.06842927480139427]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 5.135589606500229}",0.027122703346578403,"[-0.014234749907459543, 0.06848015660061635]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.0692098656538342}",0.025539076198596578,"[-0.017362479289915633, 0.06844063168710879]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 92.28295957427436}",0.043586945085684003,"[0.018270529172205396, 0.06890336099916261]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.202364548436489}",0.024292517576759542,"[-0.019829864651434104, 0.06841489980495319]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.423282455862012}",0.02445677582873984,"[-0.019504462339287487, 0.06841801399676717]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.3047393617736388}",0.024369301044002367,"[-0.019677743204264964, 0.0684163452922697]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 9.105944026265275}",0.02873246058774309,"[-0.011061787428733094, 0.06852670860421928]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 0.5752740814116687}",0.024566767069955198,"[-0.019286611476327487, 0.06842014561623788]",3,1,60,True,
ridge,"{'max_iter': np.int64(10000), 'alpha': 2.5057187257477667}",0.025792664510720875,"[-0.016861132227957487, 0.06844646124939924]",3,1,60,True,
