model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#1,0.169145,0.075309,0.688638,1.059484,0.159288,0.169145
ffn#2,0.168815,0.074932,0.696271,1.040402,0.15885,0.168815
rf#1,0.112582,0.070618,0.834836,1.322211,0.103927,0.112582
N-En,0.108129,0.057298,0.674348,1.302468,0.093269,0.108129
lgbm_dart#1,0.10439,0.056068,0.518626,1.290671,0.078641,0.10439
pls#2,0.098407,0.052615,0.550173,1.163567,0.083894,0.098407
pls#1,0.095948,0.050084,0.549948,1.087435,0.079096,0.095948
lgbm_dart#2,0.078465,0.0412,0.613224,1.376316,0.063557,0.078465
rf#2,0.066363,0.04812,0.882906,1.388412,0.065005,0.066363
L-En,0.061326,0.032533,0.847476,1.332629,0.059528,0.061326
lgbm_gbdt#1,0.061195,0.041342,0.443469,1.539066,0.038879,0.061195
ridge#1,0.060259,0.032092,0.917409,1.407574,0.06114,0.060259
ridge#2,0.060193,0.032101,0.917763,1.407289,0.061094,0.060193
elasticnet#2,0.055032,0.028253,0.915424,1.426049,0.055266,0.055032
lasso#1,0.055004,0.02735,0.903381,1.427094,0.054893,0.055004
elasticnet#1,0.054841,0.027784,0.911429,1.425907,0.054939,0.054841
lasso#2,0.054009,0.026808,0.902847,1.425736,0.053819,0.054009
lgbm_gbdt#2,0.053701,0.034707,0.160827,1.660878,0.01584,0.053701
pcr#1,0.018511,0.020397,1.067281,1.240005,0.01824,0.018511
pcr#2,0.018511,0.020397,1.067281,1.240005,0.01824,0.018511
