model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
rf#2,0.049358,0.075947,0.862951,1.237553,0.066363
ridge#2,0.042125,0.052041,0.763687,0.767941,0.060193
ridge#1,0.041995,0.052001,0.759601,0.768667,0.060259
elasticnet#2,0.026897,0.044347,0.472658,0.854215,0.055032
elasticnet#1,0.024482,0.043714,0.420322,0.865846,0.054841
lasso#1,0.021104,0.043201,0.34941,0.876393,0.055004
lasso#2,0.018763,0.04208,0.306001,0.89241,0.054009
ffn#2,0.005619,0.035358,0.1869,0.333237,0.168815
pcr#2,0.000253,0.001221,-0.254473,-0.078862,0.018511
pcr#1,0.000253,0.001221,-0.254473,-0.078862,0.018511
rf#1,-0.009925,0.061455,-0.097272,2.039741,0.112582
L-En,-0.010771,0.040335,-0.138335,1.054098,0.061326
ffn#1,-0.015183,0.050216,0.092121,0.400899,0.169145
N-En,-0.079992,0.06872,-0.471693,0.957946,0.108129
lgbm_dart#2,-0.162568,0.032821,-0.848157,0.982918,0.078465
lgbm_gbdt#1,-0.213292,0.024426,-1.0286,3.23919,0.061195
lgbm_dart#1,-0.304367,0.043437,-1.069697,1.136831,0.10439
pls#2,-0.366513,0.038094,-1.393835,1.063997,0.098407
lgbm_gbdt#2,-0.382782,0.015089,-1.113225,1.395296,0.053701
pls#1,-0.458095,0.00139,-1.732411,0.671931,0.095948
