model,IC_mean,IC_std,N
L-En,0.22637362637362624,,1
N-En,0.22637362637362624,,1
elasticnet#1,0.2747252747252745,,1
elasticnet#2,0.2747252747252745,,1
ffn#1,0.13406593406593398,,1
ffn#2,0.10769230769230763,,1
lasso#1,0.2087912087912087,,1
lasso#2,0.2087912087912087,,1
lgbm_dart#1,0.4096926237970867,,1
lgbm_dart#2,0.333336582101238,,1
lgbm_gbdt#1,0.1977899874131123,,1
lgbm_gbdt#2,0.16241482807482935,,1
pcr#1,0.34945054945054943,,1
pcr#2,0.34945054945054943,,1
pls#1,-0.037362637362637376,,1
pls#2,0.16043956043956042,,1
rf#1,0.44615384615384607,,1
rf#2,0.3626373626373625,,1
ridge#1,0.23516483516483497,,1
ridge#2,0.23516483516483497,,1
