group,model,ic
2023-03-03,ridge#1,-0.8395721925133689
2023-03-06,ridge#1,-0.3552631578947369
2023-03-07,ridge#1,-0.07620320855614977
2023-03-08,ridge#1,0.8883399209486166
2023-03-09,ridge#1,0.33880341880341863
2023-03-10,ridge#1,0.7619235836627138
2023-03-13,ridge#1,0.534841628959276
2023-03-14,ridge#1,-0.09815546772068497
2023-03-15,ridge#1,0.4357359965262702
2023-03-16,ridge#1,-0.07943548387096774
2023-03-17,ridge#1,-0.1569169960474309
2023-03-20,ridge#1,0.06723044397462992
2023-03-21,ridge#1,-0.4498149861239591
2023-03-22,ridge#1,0.4712998712998713
2023-03-23,ridge#1,-0.45355731225296453
2023-03-24,ridge#1,0.7331378299120235
2023-03-31,ridge#1,0.03502024291497973
2023-03-03,ridge#2,-0.8395721925133689
2023-03-06,ridge#2,-0.3552631578947369
2023-03-07,ridge#2,-0.07620320855614977
2023-03-08,ridge#2,0.8883399209486166
2023-03-09,ridge#2,0.33880341880341863
2023-03-10,ridge#2,0.7619235836627138
2023-03-13,ridge#2,0.5344796380090497
2023-03-14,ridge#2,-0.09815546772068497
2023-03-15,ridge#2,0.4357359965262702
2023-03-16,ridge#2,-0.07943548387096774
2023-03-17,ridge#2,-0.1515151515151515
2023-03-20,ridge#2,0.06723044397462992
2023-03-21,ridge#2,-0.4477335800185011
2023-03-22,ridge#2,0.4712998712998713
2023-03-23,ridge#2,-0.45355731225296453
2023-03-24,ridge#2,0.7331378299120235
2023-03-31,ridge#2,0.03502024291497973
2023-03-03,lasso#1,-0.843850267379679
2023-03-06,lasso#1,-0.3139676113360324
2023-03-07,lasso#1,-0.1420454545454546
2023-03-08,lasso#1,0.8804347826086956
2023-03-09,lasso#1,0.4441025641025641
2023-03-10,lasso#1,0.7405797101449275
2023-03-13,lasso#1,0.5032579185520362
2023-03-14,lasso#1,-0.08432147562582328
2023-03-15,lasso#1,0.47872340425531906
2023-03-16,lasso#1,-0.07983870967741943
2023-03-17,lasso#1,-0.12187088274044793
2023-03-20,lasso#1,0.04186046511627908
2023-03-21,lasso#1,-0.46912580943570736
2023-03-22,lasso#1,0.5601029601029599
2023-03-23,lasso#1,-0.4436758893280632
2023-03-24,lasso#1,0.7243401759530791
2023-03-31,lasso#1,0.12570850202429149
2023-03-03,lasso#2,-0.843850267379679
2023-03-06,lasso#2,-0.3139676113360324
2023-03-07,lasso#2,-0.1420454545454546
2023-03-08,lasso#2,0.8695652173913042
2023-03-09,lasso#2,0.44820512820512814
2023-03-10,lasso#2,0.7405797101449275
2023-03-13,lasso#2,0.4943891402714932
2023-03-14,lasso#2,-0.07799736495388664
2023-03-15,lasso#2,0.47980894485453746
2023-03-16,lasso#2,-0.08306451612903228
2023-03-17,lasso#2,-0.1202898550724638
2023-03-20,lasso#2,0.03495419309372799
2023-03-21,lasso#2,-0.4666975023126733
2023-03-22,lasso#2,0.5673101673101673
2023-03-23,lasso#2,-0.4328063241106719
2023-03-24,lasso#2,0.726173020527859
2023-03-31,lasso#2,0.11963562753036441
2023-03-03,elasticnet#1,-0.8481283422459892
2023-03-06,elasticnet#1,-0.31133603238866386
2023-03-07,elasticnet#1,-0.12533422459893054
2023-03-08,elasticnet#1,0.8804347826086956
2023-03-09,elasticnet#1,0.44068376068376053
2023-03-10,elasticnet#1,0.7517786561264821
2023-03-13,elasticnet#1,0.5118552036199093
2023-03-14,elasticnet#1,-0.08498023715415004
2023-03-15,elasticnet#1,0.4717759444203212
2023-03-16,elasticnet#1,-0.07983870967741943
2023-03-17,elasticnet#1,-0.11976284584980244
2023-03-20,elasticnet#1,0.04820295983086677
2023-03-21,elasticnet#1,-0.46935707678075844
2023-03-22,elasticnet#1,0.5601029601029599
2023-03-23,elasticnet#1,-0.4446640316205533
2023-03-24,elasticnet#1,0.7225073313782991
2023-03-31,elasticnet#1,0.1074898785425101
2023-03-03,elasticnet#2,-0.8456837280366689
2023-03-06,elasticnet#2,-0.3222672064777327
2023-03-07,elasticnet#2,-0.13536096256684502
2023-03-08,elasticnet#2,0.8804347826086956
2023-03-09,elasticnet#2,0.41470085470085455
2023-03-10,elasticnet#2,0.7558629776021082
2023-03-13,elasticnet#2,0.5124886877828055
2023-03-14,elasticnet#2,-0.08972332015810258
2023-03-15,elasticnet#2,0.4716673903603994
2023-03-16,elasticnet#2,-0.058870967741935516
2023-03-17,elasticnet#2,-0.12819499341238483
2023-03-20,elasticnet#2,0.0579281183932346
2023-03-21,elasticnet#2,-0.4688945420906566
2023-03-22,elasticnet#2,0.5624195624195626
2023-03-23,elasticnet#2,-0.440711462450593
2023-03-24,elasticnet#2,0.7162756598240471
2023-03-31,elasticnet#2,0.10020242914979763
2023-03-03,pcr#1,-0.8411000763941937
2023-03-06,pcr#1,-0.41153846153846163
2023-03-07,pcr#1,-0.05314171122994656
2023-03-08,pcr#1,0.8646245059288538
2023-03-09,pcr#1,0.03794871794871792
2023-03-10,pcr#1,0.5735177865612648
2023-03-13,pcr#1,0.5612669683257918
2023-03-14,pcr#1,-0.19486166007905126
2023-03-15,pcr#1,0.5201910551454627
2023-03-16,pcr#1,0.022580645161290228
2023-03-17,pcr#1,0.030830039525691737
2023-03-20,pcr#1,0.22861169837914022
2023-03-21,pcr#1,-0.4782608695652171
2023-03-22,pcr#1,0.4893178893178893
2023-03-23,pcr#1,-0.32114624505928846
2023-03-24,pcr#1,0.56341642228739
2023-03-31,pcr#1,0.08987854251012148
2023-03-03,pcr#2,-0.8411000763941937
2023-03-06,pcr#2,-0.41153846153846163
2023-03-07,pcr#2,-0.05314171122994656
2023-03-08,pcr#2,0.8646245059288538
2023-03-09,pcr#2,0.03794871794871792
2023-03-10,pcr#2,0.5735177865612648
2023-03-13,pcr#2,0.5612669683257918
2023-03-14,pcr#2,-0.19486166007905126
2023-03-15,pcr#2,0.5201910551454627
2023-03-16,pcr#2,0.022580645161290228
2023-03-17,pcr#2,0.030830039525691737
2023-03-20,pcr#2,0.22861169837914022
2023-03-21,pcr#2,-0.4782608695652171
2023-03-22,pcr#2,0.4893178893178893
2023-03-23,pcr#2,-0.32114624505928846
2023-03-24,pcr#2,0.56341642228739
2023-03-31,pcr#2,0.08987854251012148
2023-03-03,pls#1,-0.7919022154316271
2023-03-06,pls#1,-0.36396761133603245
2023-03-07,pls#1,-0.11196524064171127
2023-03-08,pls#1,0.9229249011857705
2023-03-09,pls#1,0.32717948717948714
2023-03-10,pls#1,0.7621870882740447
2023-03-13,pls#1,0.38289592760180996
2023-03-14,pls#1,-0.007378129117259535
2023-03-15,pls#1,0.406317846287451
