model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,17,2.156979,3.561842,2.496869,0.647059
N-En,17,2.140441,3.533736,2.497431,0.647059
elasticnet#1,17,2.163498,3.583105,2.489553,0.647059
elasticnet#2,17,2.164488,3.582553,2.491076,0.647059
ffn#1,17,2.1806,3.606342,2.493065,0.647059
ffn#2,17,2.176652,3.605991,2.488793,0.647059
lasso#1,17,2.161603,3.580738,2.489017,0.647059
lasso#2,17,2.188261,3.635424,2.48181,0.647059
lgbm_dart#1,17,2.190199,3.617142,2.496563,0.647059
lgbm_dart#2,17,2.223959,3.709964,2.47162,0.647059
lgbm_gbdt#1,17,2.171733,3.57022,2.508048,0.647059
lgbm_gbdt#2,17,2.169148,3.569497,2.50557,0.647059
pcr#1,17,1.844546,2.92884,2.596679,0.647059
pcr#2,17,1.844546,2.92884,2.596679,0.647059
pls#1,17,2.154254,3.570932,2.487366,0.647059
pls#2,17,2.153814,3.571166,2.486695,0.647059
rf#1,17,2.151969,3.389594,2.617657,0.647059
rf#2,17,2.133817,3.498127,2.515046,0.647059
ridge#1,17,2.156275,3.54954,2.504705,0.647059
ridge#2,17,2.156275,3.54954,2.504705,0.647059
