model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ridge#2,-0.440781,-19912.861538,-2.262658,-1.230148,-0.462311
ridge#1,-0.443985,-16384.0,-2.303311,-1.0,-0.465674
elasticnet#2,-0.510745,-8065.969231,-4.141236,-1.450953,-0.532331
elasticnet#1,-0.595862,-40329.846154,-4.302427,-1.804807,-0.619692
pcr#2,-0.741858,-16131.938462,-4.816979,-1.0,-0.757087
pcr#1,-0.741858,0.0,-4.816979,,-0.757087
lasso#1,-0.742371,-17155.938462,-4.553304,-1.06478,-0.770381
lasso#2,-0.799375,-16131.938462,-4.623566,-1.0,-0.827708
L-En,-1.210095,-20164.923077,-3.498697,-1.227202,-1.214245
ffn#2,-2.286282,0.0,-3.214254,,-2.320153
lgbm_dart#2,-3.038566,-80596.676923,-2.014602,-1.227384,-3.070344
ffn#1,-3.329754,0.0,-3.450485,,-3.378545
rf#2,-5.105883,-258111.015385,-4.263967,-1.0,-5.136177
N-En,-5.907742,-842893.784615,-4.361085,-1.993807,-5.92699
pls#2,-6.17609,-451064.123077,-3.429657,-1.672224,-6.232803
rf#1,-7.477299,-774333.046154,-4.810832,-1.825742,-7.538062
pls#1,-8.575444,0.0,-3.8001,,-8.604346
lgbm_gbdt#2,-11.619873,0.0,-3.211042,,-11.613482
lgbm_dart#1,-11.834363,-596881.723077,-4.139928,-1.67663,-11.915607
lgbm_gbdt#1,-14.73809,0.0,-3.35982,,-14.725542
