model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#2,0.183713,0.126288,1.856609,2.337102,0.179693,0.183713
rf#1,0.182742,0.142119,2.058799,2.463486,0.166057,0.182742
ffn#1,0.182113,0.125027,1.791314,2.337552,0.17954,0.182113
lgbm_dart#1,0.181834,0.139085,2.0144,2.423359,0.160521,0.181834
rf#2,0.167393,0.126146,2.129822,2.482328,0.147773,0.167393
N-En,0.164782,0.121765,2.068398,2.500405,0.150177,0.164782
pls#2,0.161801,0.102852,1.886686,2.315775,0.14673,0.161801
pls#1,0.15891,0.104143,1.908539,2.278658,0.142733,0.15891
lgbm_gbdt#1,0.150393,0.121011,1.883978,2.167681,0.127444,0.150393
lgbm_gbdt#2,0.129988,0.103585,1.802573,2.265929,0.105049,0.129988
L-En,0.092483,0.057779,2.318124,2.741182,0.086071,0.092483
lgbm_dart#2,0.085813,0.060658,2.02303,2.663406,0.079875,0.085813
ridge#2,0.084449,0.051652,2.362706,2.816172,0.079788,0.084449
ridge#1,0.084317,0.05157,2.362306,2.816901,0.079697,0.084317
lasso#1,0.073186,0.04548,2.351499,2.84264,0.06988,0.073186
lasso#2,0.073079,0.045402,2.354419,2.838547,0.069577,0.073079
elasticnet#1,0.072516,0.04524,2.360564,2.855316,0.069359,0.072516
elasticnet#2,0.072224,0.045051,2.364672,2.863772,0.069193,0.072224
pcr#1,0.046807,0.030568,2.442216,2.898462,0.040941,0.046807
pcr#2,0.046807,0.030568,2.442216,2.898462,0.040941,0.046807
