model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#1,0.130025,0.07159,1.678284,1.890269,0.191146
ffn#2,0.125992,0.060553,1.436613,1.951591,0.197179
N-En,0.118373,0.067707,1.664284,2.273347,0.173002
rf#2,0.115914,0.066426,1.821125,1.91934,0.17588
rf#1,0.114961,0.072726,1.655991,2.268555,0.191812
ffn#1,0.114926,0.059042,1.400795,1.943825,0.197925
pls#2,0.111208,0.046905,1.560075,1.927751,0.175393
pls#1,0.109532,0.048045,1.5731,1.866487,0.171125
lgbm_gbdt#1,0.108224,0.075476,1.900758,1.965841,0.158426
lgbm_gbdt#2,0.094018,0.065175,1.858239,2.083426,0.137147
L-En,0.076574,0.030817,1.815515,2.33517,0.097105
ridge#2,0.072127,0.028608,1.808647,2.164062,0.088917
ridge#1,0.071988,0.028588,1.807568,2.165463,0.088774
lgbm_dart#2,0.062954,0.037694,1.55237,2.646432,0.089541
lasso#1,0.062485,0.025994,1.814207,2.487426,0.077024
lasso#2,0.062393,0.025908,1.823889,2.513829,0.076931
elasticnet#1,0.061867,0.025614,1.812244,2.48893,0.07622
elasticnet#2,0.061636,0.025429,1.808426,2.471956,0.075864
pcr#1,0.039326,0.016292,2.034713,2.554127,0.049698
pcr#2,0.039326,0.016292,2.034713,2.554127,0.049698
