model,IC_mean,IC_std,N
L-En,0.09705632574801953,0.4434130427491019,13
N-En,0.10256669456626295,0.46612336040607616,13
elasticnet#1,0.12241267767112303,0.4749899267169757,13
elasticnet#2,0.12463377350554278,0.4737087674837752,13
ffn#1,0.08619354964541143,0.45452497605822745,13
ffn#2,0.08502805775299019,0.4525447303546983,13
lasso#1,0.1276420699373674,0.47254268890935897,13
lasso#2,0.12933842115392294,0.47357511331715474,13
lgbm_dart#1,0.09543005415336177,0.4836187437309356,13
lgbm_dart#2,0.10610429609106585,0.4692829913784124,13
lgbm_gbdt#1,0.10767912267811737,0.4775989637142631,13
lgbm_gbdt#2,0.10906561433350084,0.46925694639653476,13
pcr#1,0.11833047756591325,0.4839027924946136,13
pcr#2,0.11833047756591325,0.4839027924946136,13
pls#1,0.0601871878451798,0.447508950462792,13
pls#2,0.054332021721474937,0.450422483267069,13
rf#1,0.10897174659096337,0.4790781763711998,13
rf#2,0.08406315849786188,0.46149317015339825,13
ridge#1,0.11354435362317335,0.46464224218321654,13
ridge#2,0.11368767526260178,0.4640874531802837,13
