model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,13,3.132825,3.930829,2.873582,0.692308
N-En,13,3.033893,3.666651,2.983337,0.692308
elasticnet#1,13,3.179456,3.977757,2.881949,0.769231
elasticnet#2,13,3.179456,3.977757,2.881949,0.769231
ffn#1,13,3.145153,3.93817,2.879513,0.692308
ffn#2,13,3.212322,4.010193,2.888188,0.692308
lasso#1,13,3.267114,4.06608,2.897077,0.769231
lasso#2,13,3.344127,4.157302,2.9003,0.769231
lgbm_dart#1,13,3.172259,4.04795,2.825565,0.692308
lgbm_dart#2,13,3.142242,3.818993,2.966623,0.769231
lgbm_gbdt#1,13,3.121148,3.799606,2.961744,0.769231
lgbm_gbdt#2,13,3.12799,3.796772,2.970452,0.769231
pcr#1,13,2.494693,3.601894,2.497226,0.769231
pcr#2,13,2.494693,3.601894,2.497226,0.769231
pls#1,13,3.066762,3.751033,2.947819,0.692308
pls#2,13,2.928728,3.512846,3.006018,0.692308
rf#1,13,3.115159,3.992897,2.812962,0.769231
rf#2,13,3.103614,3.775257,2.964101,0.615385
ridge#1,13,3.018646,3.612787,3.0126,0.769231
ridge#2,13,3.018646,3.612787,3.0126,0.769231
