model,IC_mean,IC_std,N
L-En,0.10694821271288367,0.4628180979533152,18
N-En,0.12961981921839463,0.4698413572928747,18
elasticnet#1,0.12700862509571176,0.48091524119927803,18
elasticnet#2,0.1253888085906589,0.4800869186349813,18
ffn#1,0.10026863628476589,0.47436534696282884,18
ffn#2,0.09953736861106414,0.47849239272839833,18
lasso#1,0.12273364397681852,0.47944724905676694,18
lasso#2,0.12270519234893465,0.47779037374022704,18
lgbm_dart#1,0.1326444223846976,0.47019979393902767,18
lgbm_dart#2,0.14183109893401633,0.47570931111815895,18
lgbm_gbdt#1,0.14125719789540178,0.46922587859631293,18
lgbm_gbdt#2,0.1363339813015536,0.46565555933040204,18
pcr#1,0.11286587759311136,0.4488236409032269,18
pcr#2,0.11286587759311136,0.4488236409032269,18
pls#1,0.07762217680646881,0.45876260993077916,18
pls#2,0.08821310542612805,0.464754596797472,18
rf#1,0.13529270752011716,0.4600405501124888,18
rf#2,0.12813963832894282,0.4760534543473769,18
ridge#1,0.11069883151035399,0.47564120054372705,18
ridge#2,0.11109445704854906,0.4753009313197284,18
