model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,18,2.051181,3.484526,2.497448,0.666667
N-En,18,2.035561,3.456985,2.498175,0.666667
elasticnet#1,18,2.057337,3.505181,2.490183,0.666667
elasticnet#2,18,2.058272,3.504679,2.491671,0.666667
ffn#1,18,2.073489,3.528054,2.493462,0.666667
ffn#2,18,2.069761,3.527598,2.489301,0.666667
lasso#1,18,2.055548,3.502846,2.489676,0.666667
lasso#2,18,2.080725,3.556267,2.482313,0.666667
lgbm_dart#1,18,2.125843,3.51975,2.562451,0.666667
lgbm_dart#2,18,2.136859,3.618114,2.505705,0.666667
lgbm_gbdt#1,18,2.085299,3.482981,2.540115,0.666667
lgbm_gbdt#2,18,2.082857,3.482219,2.537696,0.666667
pcr#1,18,1.797868,2.848285,2.678,0.666667
pcr#2,18,1.797868,2.848285,2.678,0.666667
pls#1,18,2.045058,3.495152,2.482422,0.666667
pls#2,18,2.069366,3.483017,2.520681,0.666667
rf#1,18,2.088403,3.299429,2.685417,0.666667
rf#2,18,2.070162,3.404411,2.579875,0.666667
ridge#1,18,2.050516,3.47267,2.505163,0.666667
ridge#2,18,2.050516,3.47267,2.505163,0.666667
