model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#1,0.051176,0.017127,0.191522,1.146743,0.01738,0.051176
lgbm_dart#2,0.03254,0.019862,0.374908,1.703763,0.020986,0.03254
lgbm_gbdt#1,0.031762,0.019992,-0.056858,1.773135,-0.004416,0.031762
N-En,0.028433,0.014528,0.34831,1.293505,0.02478,0.028433
lgbm_gbdt#2,0.024762,0.000472,0.07209,0.462319,0.006175,0.024762
rf#1,0.014277,0.02045,0.04572,1.67505,0.003167,0.014277
L-En,0.003796,-0.006691,0.590452,0.005795,0.025324,0.003796
elasticnet#2,0.000958,-0.005307,0.605554,-0.012086,0.026245,0.000958
elasticnet#1,-0.001033,-0.005097,0.571801,-0.018433,0.024069,-0.001033
lasso#2,-0.001204,-0.005607,0.564556,-0.050144,0.024233,-0.001204
lasso#1,-0.003,-0.005601,0.532213,-0.070976,0.022229,-0.003
rf#2,-0.011347,0.017,-0.168165,1.45536,-0.007963,-0.011347
ridge#1,-0.01868,-0.007769,0.036703,-0.050871,0.002032,-0.01868
ridge#2,-0.019322,-0.00782,0.023808,-0.053914,0.001319,-0.019322
ffn#1,-0.025476,-0.009488,0.051209,0.014534,0.005078,-0.025476
ffn#2,-0.027445,-0.009863,0.040367,0.010873,0.004015,-0.027445
pcr#2,-0.029125,0.008799,-1.214333,0.849626,-0.034165,-0.029125
pcr#1,-0.029125,0.008799,-1.214333,0.849626,-0.034165,-0.029125
pls#1,-0.065985,-0.05191,-0.5761,-0.94605,-0.049705,-0.065985
pls#2,-0.094883,-0.054092,-0.731567,-1.166783,-0.074646,-0.094883
