model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_gbdt#2,0.048698,0.007497,0.192697,0.684723,0.024762
lgbm_gbdt#1,0.034843,0.026238,-0.088056,1.712377,0.031762
lgbm_dart#1,0.029328,0.013808,0.050234,1.027082,0.051176
lgbm_dart#2,0.025282,0.02043,0.261107,1.736221,0.03254
N-En,0.016067,0.017419,0.272406,1.471641,0.028433
L-En,0.001065,-0.004724,0.663125,0.551407,0.003796
elasticnet#2,-0.011716,-0.004393,0.660167,0.368977,0.000958
rf#1,-0.013677,0.019835,-0.230623,1.643725,0.014277
elasticnet#1,-0.014066,-0.004344,0.595921,0.347747,-0.001033
lasso#2,-0.01467,-0.004914,0.586887,0.312137,-0.001204
ridge#1,-0.016247,-0.001288,-0.113086,0.642784,-0.01868
ridge#2,-0.016646,-0.001273,-0.12769,0.64376,-0.019322
lasso#1,-0.016908,-0.00513,0.522213,0.271825,-0.003
pcr#2,-0.021821,0.003016,-1.124087,0.549981,-0.029125
pcr#1,-0.021821,0.003016,-1.124087,0.549981,-0.029125
ffn#1,-0.04026,-0.004582,-0.087389,0.557757,-0.025476
rf#2,-0.040851,0.019407,-0.55884,1.534209,-0.011347
ffn#2,-0.042104,-0.00471,-0.09991,0.562777,-0.027445
pls#1,-0.049755,-0.048051,-0.630916,-0.207413,-0.065985
pls#2,-0.067511,-0.043313,-0.794835,-0.337561,-0.094883
