model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,11,-0.020141,0.633981,-0.105364,0.454545
N-En,11,-0.085073,0.899334,-0.313737,0.454545
elasticnet#1,11,0.021672,0.435341,0.165105,0.454545
elasticnet#2,11,0.036228,0.468803,0.256304,0.454545
ffn#1,11,-0.084966,0.890311,-0.31652,0.363636
ffn#2,11,-0.060255,0.828181,-0.241304,0.363636
lasso#1,11,0.021672,0.435341,0.165105,0.454545
lasso#2,11,0.021672,0.435341,0.165105,0.454545
lgbm_dart#1,11,-0.064614,0.628419,-0.341016,0.454545
lgbm_dart#2,11,-0.072198,0.371018,-0.645397,0.363636
lgbm_gbdt#1,11,0.104765,0.418526,0.830216,0.454545
lgbm_gbdt#2,11,-0.047854,0.644251,-0.246352,0.636364
pcr#1,11,0.031479,0.712618,0.14651,0.363636
pcr#2,11,0.031479,0.712618,0.14651,0.363636
pls#1,11,0.005937,0.657097,0.029966,0.454545
pls#2,11,-0.032687,0.62572,-0.173256,0.545455
rf#1,11,-0.162798,0.730648,-0.738989,0.363636
rf#2,11,0.038289,0.511916,0.248066,0.454545
ridge#1,11,0.004898,0.632513,0.025682,0.454545
ridge#2,11,0.004898,0.632513,0.025682,0.454545
