model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#1,0.141026,0.066131,0.886628,1.189347,0.143494,0.141026
ffn#2,0.140938,0.066478,0.886702,1.186768,0.143614,0.140938
pls#2,0.102211,0.051636,0.610207,1.138045,0.091447,0.102211
pls#1,0.100042,0.054406,0.591114,1.104511,0.084438,0.100042
N-En,0.096293,0.051806,0.795649,1.353044,0.089804,0.096293
rf#1,0.089931,0.047028,0.785927,1.466235,0.081634,0.089931
lgbm_dart#2,0.082522,0.048206,0.618275,1.329617,0.062947,0.082522
lgbm_gbdt#2,0.076114,0.049637,0.600748,1.233499,0.066223,0.076114
rf#2,0.074828,0.042247,0.842001,1.535959,0.070134,0.074828
lgbm_dart#1,0.074723,0.040538,0.619296,1.465336,0.057755,0.074723
lgbm_gbdt#1,0.072598,0.045675,0.739416,1.466436,0.065351,0.072598
ridge#1,0.068846,0.035072,0.939128,1.37644,0.071057,0.068846
ridge#2,0.068789,0.035088,0.939145,1.375949,0.071014,0.068789
L-En,0.060618,0.031635,0.889922,1.327508,0.059774,0.060618
elasticnet#2,0.0577,0.026666,0.963593,1.41346,0.058562,0.0577
lasso#2,0.056712,0.025778,0.959161,1.412302,0.057413,0.056712
elasticnet#1,0.055825,0.025588,0.961712,1.412206,0.056564,0.055825
lasso#1,0.054822,0.024726,0.954227,1.410251,0.055354,0.054822
pcr#1,-0.003525,0.013524,-0.813313,1.087524,-0.004677,-0.003525
pcr#2,-0.003525,0.013524,-0.813313,1.087524,-0.004677,-0.003525
