model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
ffn#2,0.115661,0.082067,0.855334,0.651825,0.140938
ffn#1,0.115103,0.08364,0.85174,0.663388,0.141026
ridge#2,0.062969,0.05603,0.970425,0.738665,0.068789
ridge#1,0.062946,0.055977,0.969401,0.739329,0.068846
elasticnet#2,0.041421,0.041942,0.73324,0.869357,0.0577
lasso#2,0.037771,0.040392,0.663035,0.879591,0.056712
elasticnet#1,0.037646,0.039957,0.673552,0.882067,0.055825
lasso#1,0.032977,0.038331,0.579196,0.893024,0.054822
lgbm_gbdt#1,0.031422,0.054319,0.521761,1.416403,0.072598
N-En,0.018513,0.071737,0.118042,1.030801,0.096293
rf#2,0.017882,0.070204,0.225532,1.812778,0.074828
L-En,0.004933,0.039622,0.062532,1.087231,0.060618
rf#1,-0.000311,0.058719,-0.052749,1.797431,0.089931
pcr#2,-0.018979,-0.003478,-1.048532,-0.355801,-0.003525
pcr#1,-0.018979,-0.003478,-1.048532,-0.355801,-0.003525
lgbm_dart#1,-0.066138,0.090203,-0.508321,0.987439,0.074723
lgbm_gbdt#2,-0.11531,0.000391,-0.825114,0.264887,0.076114
lgbm_dart#2,-0.163218,0.051807,-0.733176,1.320859,0.082522
pls#2,-0.322761,0.031166,-1.443261,1.040948,0.102211
pls#1,-0.437153,-0.005539,-1.843116,-0.398731,0.100042
