group,model,ic
2023-03-28,ridge#1,0.23516483516483497
2023-03-28,ridge#2,0.23516483516483497
2023-03-28,lasso#1,0.2087912087912087
2023-03-28,lasso#2,0.2087912087912087
2023-03-28,elasticnet#1,0.2087912087912087
2023-03-28,elasticnet#2,0.2087912087912087
2023-03-28,pcr#1,0.3846153846153846
2023-03-28,pcr#2,0.3846153846153846
2023-03-28,pls#1,0.059340659340659296
2023-03-28,pls#2,0.015384615384615453
2023-03-28,L-En,0.22637362637362624
2023-03-28,ffn#1,0.25274725274725257
2023-03-28,ffn#2,0.25274725274725257
2023-03-28,rf#1,0.49890109890109885
2023-03-28,rf#2,0.39780219780219783
2023-03-28,lgbm_gbdt#1,0.20667942504965667
2023-03-28,lgbm_gbdt#2,0.23762390616750106
2023-03-28,lgbm_dart#1,0.43564382797375206
2023-03-28,lgbm_dart#2,0.4769230769230768
2023-03-28,N-En,0.35824175824175813
