model,IC_mean,IC_std,N
L-En,0.22637362637362624,,1
N-En,0.35824175824175813,,1
elasticnet#1,0.2087912087912087,,1
elasticnet#2,0.2087912087912087,,1
ffn#1,0.25274725274725257,,1
ffn#2,0.25274725274725257,,1
lasso#1,0.2087912087912087,,1
lasso#2,0.2087912087912087,,1
lgbm_dart#1,0.43564382797375206,,1
lgbm_dart#2,0.4769230769230768,,1
lgbm_gbdt#1,0.20667942504965667,,1
lgbm_gbdt#2,0.23762390616750106,,1
pcr#1,0.3846153846153846,,1
pcr#2,0.3846153846153846,,1
pls#1,0.059340659340659296,,1
pls#2,0.015384615384615453,,1
rf#1,0.49890109890109885,,1
rf#2,0.39780219780219783,,1
ridge#1,0.23516483516483497,,1
ridge#2,0.23516483516483497,,1
