group,model,ls_return
2023-03-28,L-En,0.25260515220158386
2023-03-28,N-En,0.6444761438436472
2023-03-28,elasticnet#1,0.25260515220158386
2023-03-28,elasticnet#2,0.25260515220158386
2023-03-28,ffn#1,0.25260515220158386
2023-03-28,ffn#2,0.25260515220158386
2023-03-28,lasso#1,0.25260515220158386
2023-03-28,lasso#2,0.25260515220158386
2023-03-28,lgbm_dart#1,1.0317767500543897
2023-03-28,lgbm_dart#2,1.0024832104206844
2023-03-28,lgbm_gbdt#1,0.6159121879455319
2023-03-28,lgbm_gbdt#2,0.25260515220158386
2023-03-28,pcr#1,1.0217230328146205
2023-03-28,pcr#2,1.0217230328146205
2023-03-28,pls#1,0.5938572924502399
2023-03-28,pls#2,0.22861158173478935
2023-03-28,rf#1,1.009366371729291
2023-03-28,rf#2,0.9880345980780963
2023-03-28,ridge#1,0.25260515220158386
2023-03-28,ridge#2,0.25260515220158386
