model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,17,2.138651,3.526061,2.500775,0.647059
N-En,17,2.13358,3.490517,2.520249,0.647059
elasticnet#1,17,2.186471,3.628635,2.484419,0.647059
elasticnet#2,17,2.190565,3.638609,2.482248,0.647059
ffn#1,17,2.037401,3.285018,2.557192,0.647059
ffn#2,17,2.037401,3.285018,2.557192,0.647059
lasso#1,17,2.153237,3.557099,2.495861,0.647059
lasso#2,17,2.186471,3.628635,2.484419,0.647059
lgbm_dart#1,17,2.14714,3.572338,2.478177,0.647059
lgbm_dart#2,17,2.118563,3.440733,2.538721,0.647059
lgbm_gbdt#1,17,2.238348,3.722957,2.478928,0.647059
lgbm_gbdt#2,17,2.106243,3.439861,2.524597,0.647059
pcr#1,17,1.895013,3.080595,2.536308,0.705882
pcr#2,17,1.895013,3.080595,2.536308,0.705882
pls#1,17,2.131634,3.511318,2.503035,0.647059
pls#2,17,2.142853,3.538072,2.497182,0.647059
rf#1,17,2.144122,3.532009,2.502949,0.647059
rf#2,17,2.134757,3.515814,2.503496,0.647059
ridge#1,17,2.154585,3.550792,2.501859,0.647059
ridge#2,17,2.15704,3.551033,2.504539,0.647059
