model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
elasticnet#2,-0.454397,-20921.107692,-3.218902,-1.294885,-0.460038
elasticnet#1,-0.463548,0.0,-3.513739,,-0.468781
lasso#2,-0.496113,-37894.112492,-3.547559,-1.855219,-0.501584
pcr#2,-0.512187,0.0,-2.726239,,-0.527219
pcr#1,-0.512187,-15.753846,-2.726239,-1.0,-0.527219
lasso#1,-0.526403,-32614.683569,-3.783966,-1.457112,-0.531873
L-En,-0.928005,0.0,-3.779643,,-0.932662
ffn#1,-1.098646,0.0,-1.618608,,-1.099964
ffn#2,-1.120134,0.0,-1.6034,,-1.122097
ridge#1,-1.137426,-16384.0,-1.516414,-1.0,-1.294816
ridge#2,-1.148347,0.0,-1.510276,,-1.307927
lgbm_dart#1,-1.550268,0.0,-1.290316,,-1.553419
N-En,-1.832436,-64527.753846,-4.300107,-1.0,-1.837412
lgbm_gbdt#2,-2.63113,-16131.938462,-2.945327,-1.0,-2.650561
lgbm_dart#2,-3.094243,-20164.923077,-1.428825,-1.227202,-3.101109
rf#2,-3.452767,-83748.958523,-5.902811,-1.290994,-3.468965
rf#1,-3.884138,0.0,-4.989899,,-3.890829
lgbm_gbdt#1,-4.378155,0.0,-2.993,,-4.423172
pls#2,-5.989796,-580875.815385,-4.018764,-1.626942,-6.013175
pls#1,-8.695434,-516423.932062,-4.031552,-1.451735,-8.695627
