model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
rf#1,0.192725,0.143702,2.178694,2.463552,0.169105,0.192725
lgbm_gbdt#1,0.180879,0.148834,2.148847,2.397571,0.156721,0.180879
lgbm_gbdt#2,0.180483,0.150214,2.200115,2.53394,0.157738,0.180483
pls#2,0.163405,0.103058,1.965879,2.31022,0.149634,0.163405
N-En,0.161991,0.123947,2.262934,2.61299,0.146961,0.161991
rf#2,0.155526,0.111344,2.20568,2.599293,0.137438,0.155526
pls#1,0.155486,0.103238,1.939015,2.296192,0.141695,0.155486
lgbm_dart#2,0.148668,0.118689,2.311639,2.728903,0.129085,0.148668
ffn#2,0.13709,0.096092,2.047091,2.497782,0.139483,0.13709
ffn#1,0.136167,0.095483,2.045599,2.501777,0.13862,0.136167
lgbm_dart#1,0.134616,0.107742,2.252794,2.649092,0.117258,0.134616
L-En,0.09006,0.057195,2.359052,2.75457,0.084129,0.09006
ridge#2,0.089914,0.055733,2.310931,2.813418,0.085996,0.089914
ridge#1,0.089731,0.055609,2.311048,2.814241,0.085866,0.089731
elasticnet#2,0.070731,0.045723,2.332118,2.846391,0.06773,0.070731
lasso#2,0.070574,0.045531,2.330276,2.840988,0.067351,0.070574
lasso#1,0.070145,0.045034,2.336488,2.837789,0.066632,0.070145
elasticnet#1,0.069958,0.045115,2.336414,2.846161,0.066699,0.069958
pcr#1,0.029576,0.021838,1.958279,2.729027,0.022838,0.029576
pcr#2,0.029576,0.021838,1.958279,2.729027,0.022838,0.029576
