model,IC_mean,IC_std,N
L-En,0.10326419312801648,0.467090324266039,13
N-En,0.13234608663448622,0.4604150033781132,13
elasticnet#1,0.12322627797429002,0.4800007897111966,13
elasticnet#2,0.1241970043698788,0.4770160038143113,13
ffn#1,0.13156545609586387,0.43212651726048446,13
ffn#2,0.13212354151747288,0.43182086561091754,13
lasso#1,0.1254977850250458,0.48251483705887505,13
lasso#2,0.12322627797429002,0.4800007897111966,13
lgbm_dart#1,0.07518212424663472,0.44008223819576925,13
lgbm_dart#2,0.12204654340343855,0.45863826376253547,13
lgbm_gbdt#1,0.12010265284523539,0.4576105571738689,13
lgbm_gbdt#2,0.11183541675879649,0.4579301825932468,13
pcr#1,0.1795591112782183,0.5425185030815329,13
pcr#2,0.1795591112782183,0.5425185030815329,13
pls#1,0.08047686102524695,0.44480168849970986,13
pls#2,0.050664255910904815,0.44794882925030005,13
rf#1,0.11632011313643531,0.4720261975028043,13
rf#2,0.09924000577915945,0.4824473083940654,13
ridge#1,0.12019212836422156,0.47719767480813957,13
ridge#2,0.11975955189841934,0.4772679052541449,13
