model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,13,3.17015,4.002862,2.855491,0.692308
N-En,13,3.16699,3.987085,2.863933,0.769231
elasticnet#1,13,3.171037,3.992064,2.864016,0.769231
elasticnet#2,13,3.173727,3.98952,2.868274,0.769231
ffn#1,13,3.025996,3.879346,2.812429,0.769231
ffn#2,13,3.025996,3.879346,2.812429,0.769231
lasso#1,13,3.173533,3.989652,2.868003,0.769231
lasso#2,13,3.171037,3.992064,2.864016,0.769231
lgbm_dart#1,13,3.14683,4.003478,2.834051,0.615385
lgbm_dart#2,13,3.185124,4.013419,2.861433,0.769231
lgbm_gbdt#1,13,3.099502,3.934016,2.840714,0.692308
lgbm_gbdt#2,13,3.15759,4.015912,2.834936,0.692308
pcr#1,13,2.230729,3.88915,2.068063,0.692308
pcr#2,13,2.230729,3.88915,2.068063,0.692308
pls#1,13,3.014953,3.693076,2.9435,0.692308
pls#2,13,2.928728,3.512846,3.006018,0.692308
rf#1,13,3.168121,3.967066,2.879413,0.769231
rf#2,13,3.258683,4.076734,2.88205,0.692308
ridge#1,13,3.159643,3.904878,2.917442,0.846154
ridge#2,13,3.159643,3.904878,2.917442,0.846154
