model,IC_mean,IC_std,N
L-En,0.1145172656558355,0.4751238360865033,18
N-En,0.13366277882301622,0.45982484299008053,18
elasticnet#1,0.12240523468994974,0.48398895966496197,18
elasticnet#2,0.12196378566560602,0.4835968770312095,18
ffn#1,0.12090114627646968,0.45856819847554225,18
ffn#2,0.12216936444861187,0.4557614400814739,18
lasso#1,0.12445158637253671,0.4847226193315213,18
lasso#2,0.12335778144576987,0.4844810724452282,18
lgbm_dart#1,0.12815920397223823,0.44919467439435284,18
lgbm_dart#2,0.1356146530560454,0.46529248744064927,18
lgbm_gbdt#1,0.13168195592708537,0.44783382806899,18
lgbm_gbdt#2,0.1389388784633278,0.4047947970023123,18
pcr#1,0.16907495140572404,0.47805522556002056,18
pcr#2,0.16907495140572404,0.47805522556002056,18
pls#1,0.08854685116989042,0.45844071180241197,18
pls#2,0.0771914151735241,0.46016346662236973,18
rf#1,0.13181944992944694,0.46280358477665773,18
rf#2,0.13051874626555254,0.46153574850033946,18
ridge#1,0.10899850983333383,0.48088318490684556,18
ridge#2,0.10896340553029957,0.4808790358537336,18
