feature,mean_abs_shap
opt_rel_spread_final,0.2246493130159142
log_mid_t,0.21098281244094386
d_log1p_spot_reserve_usd,0.057137843244538515
d_log1p_taker_buy_volume,0.04869518632226415
futmom_10,0.04189905095432918
moneyness_std,0.03474980358873273
log1p_short_liquidations_usd,0.03195807328192155
rv_chg,0.030380681316381972
tau,0.02828298688947412
ivrv_ratio_pred,0.02794745720055195
vega_model,0.024550424955946646
opt_rel_spread_chg,0.023081264650713394
dgex_proxy,0.022551930559336394
d_log_pcr_oi,0.02248956164490809
d_log1p_long_liquidations_usd,0.021732027163251816
fut_baspread_z,0.02169795327086931
log1p_der_outflow_total,0.020956740822430563
oi_herf_date,0.01868773832766848
is_call,0.018078435347266966
ddist_to_wall,0.017613701110535302
d_log1p_der_inflow_total,0.01745373286130962
funding_rates,0.01729469326363105
d_log1p_short_liquidations_usd,0.016742431446382725
asinh_spot_netflow_total,0.01653871030333841
futmom_5,0.01601396646558748
dgex_proxy_date,0.015920011022759598
realskew_chg,0.015052350845518515
d_asinh_spot_netflow_total,0.014114637179264637
log_taker_buy_sell_ratio,0.013933249937705432
theta_model,0.013760651468120553
d_log_open_interest_opt,0.013146858025288886
log_open_interest_opt,0.011784335303495397
baspread_chg,0.011581698613800089
futmom_21,0.010878817515926472
d_log_estimated_leverage_ratio,0.010534421540807975
log1p_der_inflow_total,0.010111843504381466
d_log1p_spot_inflow_total,0.010095560195480469
convexity_proxy,0.009322133793484582
log1p_spot_inflow_total,0.009315203362698452
d_log_pcr_oi_opt,0.008841693131077367
d_log_open_interest,0.008780098205618408
atm_ivchg_proxy,0.008653471091189871
d_asinh_der_netflow_total,0.008580615529489322
delta_model,0.007564277717437793
rr25_proxy,0.007277474826799953
d_log1p_spot_outflow_total,0.007266034351867751
log1p_taker_buy_volume,0.007210819902499219
log1p_spot_outflow_total,0.006891725214418349
atm_iv,0.006541473672685149
d_log1p_spot_transactions_count_inflow,0.006363664968052154
smile_slope,0.005985215590638384
dist_to_wall,0.005760948544046649
addresses_count_active,0.005615285680376577
log_pcr_oi_opt,0.005477957518901327
d_log1p_spot_transactions_count_outflow,0.005338924947344179
d_log1p_der_outflow_total,0.005295865836750068
d_funding_rates,0.0052856190946152
log_pcr_oi,0.005173113776761131
d_iv_atm,0.00487731466654683
gamma_model,0.004835555779845323
d_basis,0.004821415105100858
iv,0.0043535173982685626
log_open_interest,0.004147459185895333
log_estimated_leverage_ratio,0.0040841927502395705
ddist_to_wall_date,0.004027280022675007
gex_proxy,0.003999527373417628
d_log_taker_buy_sell_ratio,0.003989512837715218
bf25_proxy,0.0036291541347985754
asinh_der_netflow_total,0.003480701340235417
basis,0.0028579282888395096
fut_baspread_chg,0.0023152631538439932
log1p_long_liquidations_usd,0.001744194304710658
log1p_spot_transactions_count_outflow,0.0014996930681976973
log1p_spot_reserve_usd,0.00063119653897669
log1p_spot_transactions_count_inflow,0.00011893698208102692
