model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#2,0.022219,0.011347,-0.343149,0.870791,-0.025748,0.022219
rf#1,0.021808,0.021444,0.226293,1.310222,0.012931,0.021808
N-En,0.021491,0.015725,-0.149667,1.009284,-0.00975,0.021491
lgbm_dart#2,0.010114,0.024562,-0.732608,1.933632,-0.053866,0.010114
rf#2,0.009839,0.010007,-0.418169,0.737286,-0.02243,0.009839
elasticnet#1,0.001724,-0.001212,0.608669,0.24002,0.019056,0.001724
L-En,-0.002146,-0.004755,0.401891,0.12473,0.012611,-0.002146
lasso#1,-0.00304,-0.004219,0.483996,-0.016529,0.016065,-0.00304
lgbm_gbdt#1,-0.003577,0.020806,-0.423131,1.591264,-0.013259,-0.003577
elasticnet#2,-0.003951,-0.004276,0.471198,-0.030617,0.015874,-0.003951
lasso#2,-0.004859,-0.004532,0.453129,-0.046766,0.015612,-0.004859
pcr#2,-0.006776,-3.1e-05,-1.240034,-0.649586,-0.011808,-0.006776
pcr#1,-0.006776,-3.1e-05,-1.240034,-0.649586,-0.011808,-0.006776
lgbm_dart#1,-0.026673,0.009849,-0.982071,0.619989,-0.132799,-0.026673
ffn#1,-0.028609,-0.019574,-0.301604,-0.385075,-0.025825,-0.028609
ffn#2,-0.040987,-0.028375,-0.439473,-0.625345,-0.042061,-0.040987
ridge#1,-0.082388,-0.00127,-1.313976,0.277153,-0.065028,-0.082388
ridge#2,-0.083661,-0.001346,-1.32986,0.272293,-0.066268,-0.083661
pls#2,-0.102774,-0.048012,-1.52547,-0.720998,-0.119311,-0.102774
pls#1,-0.112259,-0.06757,-1.176616,-1.106087,-0.092265,-0.112259
