model,IC_mean,IC_std,N
L-En,-0.08462371821504946,0.3927427258601422,11
N-En,-0.016102499152034752,0.4881428741736158,11
elasticnet#1,-0.08930635927539952,0.34986719553540546,11
elasticnet#2,-0.0798912817488669,0.35746161635363055,11
ffn#1,-0.05761968509646524,0.541241403808734,11
ffn#2,0.00552985885803224,0.5021193538009684,11
lasso#1,-0.08328130417913701,0.35531634157946257,11
lasso#2,-0.07833324226513082,0.3610563437492617,11
lgbm_dart#1,-0.14073989882516824,0.29768696251962806,11
lgbm_dart#2,-0.043822749318105356,0.3800338641702966,11
lgbm_gbdt#1,0.020519024728655823,0.3622177800551613,11
lgbm_gbdt#2,-0.12411517731075032,0.2403483059064877,11
pcr#1,0.10946361859674553,0.4024209505924535,11
pcr#2,0.10946361859674553,0.4024209505924535,11
pls#1,-0.08033645920642826,0.48712185661520685,11
pls#2,-0.1187967948803862,0.4074915158110096,11
rf#1,-0.05887510040820914,0.4262079470030461,11
rf#2,-0.06893572581711879,0.3431078061974326,11
ridge#1,-0.07994065617904629,0.33103661096041487,11
ridge#2,-0.07971865595704607,0.3309405635053363,11
