model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
ffn#2,0.161063,0.099396,0.833392,1.149419,0.156135,0.161063
ffn#1,0.146199,0.089213,0.843627,1.174225,0.141428,0.146199
pls#1,0.099663,0.061056,0.349496,0.832239,0.055089,0.099663
N-En,0.083694,0.059922,0.725717,1.326043,0.073161,0.083694
rf#1,0.081903,0.052938,0.857278,1.483522,0.076605,0.081903
pls#2,0.071898,0.063377,0.152336,0.945044,0.021806,0.071898
lgbm_gbdt#1,0.068454,0.059675,0.797229,1.273294,0.065718,0.068454
lgbm_gbdt#2,0.056314,0.042363,0.365345,1.364198,0.030815,0.056314
rf#2,0.05486,0.040737,0.719943,1.534219,0.048388,0.05486
L-En,0.046495,0.030649,0.746976,1.232609,0.040985,0.046495
elasticnet#1,0.044616,0.025801,0.900674,1.363246,0.043263,0.044616
lasso#2,0.044411,0.021916,0.848882,1.348622,0.041961,0.044411
lasso#1,0.044019,0.022722,0.858249,1.351798,0.041724,0.044019
elasticnet#2,0.043896,0.022046,0.852964,1.34963,0.041528,0.043896
ridge#1,0.039137,0.036108,0.892014,1.355135,0.041186,0.039137
ridge#2,0.03899,0.036111,0.892489,1.354822,0.041069,0.03899
lgbm_dart#1,0.038567,0.031482,0.204659,1.524707,0.014039,0.038567
lgbm_dart#2,0.036064,0.049004,0.281397,1.407412,0.016354,0.036064
pcr#2,-0.006298,-0.000334,-0.900376,-1.660101,-0.006097,-0.006298
pcr#1,-0.006298,-0.000334,-0.900376,-1.660101,-0.006097,-0.006298
