model,IC_mean,IC_std,N
L-En,0.1577451553718486,0.4854585336837471,17
N-En,0.12764387647828954,0.48791913722989316,17
elasticnet#1,0.14178058108371908,0.5011931365032302,17
elasticnet#2,0.14240965151868898,0.49861904186818806,17
ffn#1,0.15941363808778417,0.49378117356796625,17
ffn#2,0.16887668859728394,0.47360365715505065,17
lasso#1,0.14343661140112843,0.49776912049293476,17
lasso#2,0.14095450028728737,0.4985926711664605,17
lgbm_dart#1,0.115692981277483,0.46511337432905264,17
lgbm_dart#2,0.14371044711081082,0.46182439035381845,17
lgbm_gbdt#1,0.13133540656957496,0.4628385968950628,17
lgbm_gbdt#2,0.12563963028446454,0.46966179824926746,17
pcr#1,0.03616762227108864,0.4303463354410312,17
pcr#2,0.03616762227108864,0.4303463354410312,17
pls#1,0.17551569289912264,0.46085574408488317,17
pls#2,0.1640980551480121,0.4636349395577072,17
rf#1,0.12334068723858757,0.48362668280689886,17
rf#2,0.12598463045146646,0.4701429122610153,17
ridge#1,0.12781080533169856,0.4930644360177001,17
ridge#2,0.12848301834125858,0.49278418812261393,17
