model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,17,2.253116,3.715833,2.500068,0.647059
N-En,17,2.227923,3.682481,2.494503,0.647059
elasticnet#1,17,2.191878,3.624546,2.493373,0.647059
elasticnet#2,17,2.164634,3.580798,2.492465,0.647059
ffn#1,17,2.2735,3.757261,2.494871,0.647059
ffn#2,17,2.310248,3.817327,2.495306,0.705882
lasso#1,17,2.165857,3.583759,2.491812,0.647059
lasso#2,17,2.163415,3.58159,2.490511,0.647059
lgbm_dart#1,17,2.112183,3.455396,2.520335,0.647059
lgbm_dart#2,17,2.19454,3.580762,2.526926,0.647059
lgbm_gbdt#1,17,2.126476,3.45714,2.536109,0.647059
lgbm_gbdt#2,17,2.124338,3.461359,2.530472,0.647059
pcr#1,17,-1.383549,2.537037,-2.248496,0.352941
pcr#2,17,-1.383549,2.537037,-2.248496,0.352941
pls#1,17,2.274548,3.737362,2.509311,0.705882
pls#2,17,2.19784,3.596978,2.519317,0.647059
rf#1,17,2.137934,3.510013,2.511366,0.647059
rf#2,17,2.139048,3.517327,2.50745,0.647059
ridge#1,17,2.137996,3.474844,2.536857,0.647059
ridge#2,17,2.137996,3.474844,2.536857,0.647059
