model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
pcr#1,0.059672,-1071.261538,0.848652,-1.063747,0.058001
pcr#2,0.059672,-835.331938,0.848652,-1.063747,0.058001
lgbm_gbdt#1,-0.265226,-16387.938462,-1.903578,-1.016548,-0.274316
elasticnet#1,-0.683231,-1087.015385,-2.09777,-1.079047,-0.700102
lasso#1,-0.975052,-48651.815385,-2.108959,-1.836934,-0.991769
elasticnet#2,-1.012062,-16131.938462,-2.137195,-1.0,-1.027985
lasso#2,-1.069836,0.0,-2.209256,,-1.085515
rf#2,-1.22564,0.0,-5.234542,,-1.226725
L-En,-1.772724,-77512.451938,-1.942108,-1.228232,-1.782292
N-En,-1.942844,-84906.236062,-2.85753,-1.307635,-1.952069
ridge#1,-2.458169,0.0,-2.022244,,-2.551336
ridge#2,-2.480827,-68560.738462,-2.017131,-1.063747,-2.574568
rf#1,-2.805817,-65031.876923,-4.878823,-1.0,-2.812937
ffn#1,-2.847087,0.0,-3.395995,,-2.9406
lgbm_dart#2,-3.00592,-64527.753846,-2.12185,-1.0,-3.024855
ffn#2,-3.46567,0.0,-3.294191,,-3.603823
lgbm_dart#1,-5.072756,0.0,-3.395324,,-5.066492
lgbm_gbdt#2,-5.161518,-258111.015385,-2.135294,-1.0,-5.159148
pls#1,-17.171588,-1548666.092308,-2.654553,-1.450953,-17.235543
pls#2,-17.962515,-1355082.830769,-2.65479,-1.290994,-17.953236
