model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.197636,0.164554,2.024179,2.437186,0.159735,0.197636
ffn#2,0.193835,0.154503,1.978583,2.265217,0.188148,0.193835
lgbm_dart#1,0.182576,0.135711,1.967001,2.309285,0.145001,0.182576
N-En,0.182057,0.143904,2.20028,2.532774,0.159395,0.182057
ffn#1,0.17674,0.137105,2.051545,2.391835,0.171676,0.17674
lgbm_gbdt#1,0.173011,0.138471,2.206502,2.462634,0.148239,0.173011
pls#1,0.169398,0.125529,1.790794,2.240596,0.144757,0.169398
lgbm_gbdt#2,0.168779,0.142846,2.101642,2.468475,0.140055,0.168779
rf#2,0.160023,0.127064,2.203907,2.496882,0.136523,0.160023
pls#2,0.15921,0.112936,1.694876,2.291534,0.12928,0.15921
rf#1,0.155652,0.114948,2.18218,2.516323,0.139046,0.155652
L-En,0.080761,0.058375,2.343074,2.830714,0.073035,0.080761
ridge#2,0.068962,0.057212,2.102232,2.92731,0.064961,0.068962
ridge#1,0.068851,0.057095,2.103549,2.928037,0.064902,0.068851
lasso#2,0.067332,0.04471,2.378222,2.843416,0.062059,0.067332
elasticnet#2,0.065863,0.04461,2.390235,2.849932,0.060853,0.065863
lasso#1,0.064772,0.045132,2.401665,2.85622,0.060104,0.064772
elasticnet#1,0.062055,0.045869,2.425883,2.897592,0.058392,0.062055
pcr#2,-0.004796,-0.000349,-2.111252,-2.770334,-0.004929,-0.004796
pcr#1,-0.004796,-0.000349,-2.111252,-2.770334,-0.004929,-0.004796
