model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_dart#2,0.205611,0.13785,2.295468,2.428189,0.147238,0.205611
ffn#2,0.203786,0.119995,2.039694,1.994446,0.190129,0.203786
lgbm_dart#1,0.191722,0.115693,2.270306,2.123094,0.135234,0.191722
N-En,0.188791,0.117729,2.375604,2.410633,0.151109,0.188791
ffn#1,0.185411,0.102368,2.096293,2.087091,0.172818,0.185411
pls#1,0.183258,0.100845,2.174167,2.214481,0.160814,0.183258
lgbm_gbdt#1,0.180133,0.113987,2.34184,2.323509,0.139124,0.180133
lgbm_gbdt#2,0.175432,0.125089,2.422182,2.373046,0.135648,0.175432
pls#2,0.17239,0.090232,2.181125,2.322065,0.145914,0.17239
rf#2,0.166231,0.103933,2.362123,2.337531,0.125836,0.166231
rf#1,0.161444,0.089367,2.316399,2.290498,0.131223,0.161444
L-En,0.084353,0.039823,2.522291,2.79674,0.071831,0.084353
ridge#2,0.075456,0.034765,2.393654,2.618301,0.063643,0.075456
ridge#1,0.075286,0.034703,2.392095,2.622695,0.063578,0.075286
lasso#2,0.070388,0.026475,2.476414,2.995828,0.061376,0.070388
elasticnet#2,0.068816,0.026304,2.483992,2.983894,0.060197,0.068816
lasso#1,0.06764,0.02663,2.487829,2.974318,0.059518,0.06764
elasticnet#1,0.064579,0.027149,2.472035,2.933208,0.057551,0.064579
pcr#2,-0.004726,-0.000256,-1.933722,-1.626423,-0.004846,-0.004726
pcr#1,-0.004726,-0.000256,-1.933722,-1.626423,-0.004846,-0.004726
