model,IC_mean,IC_std,N
L-En,0.25384368622934544,0.4719117719928081,13
N-En,0.17335388631994877,0.46323731928031947,13
elasticnet#1,0.1814764990988714,0.47118712226543935,13
elasticnet#2,0.17590470366227784,0.4737192628842267,13
ffn#1,0.3074040489341205,0.46262245895232956,13
ffn#2,0.32557283070128334,0.4631192641777183,13
lasso#1,0.1788176937401036,0.4726298050869967,13
lasso#2,0.17248569948500678,0.4747953252965921,13
lgbm_dart#1,0.1141898975401747,0.4611039956318176,13
lgbm_dart#2,0.13724186677601946,0.4705071219279064,13
lgbm_gbdt#1,0.10669301523721766,0.44034781467539336,13
lgbm_gbdt#2,0.11563222047670982,0.4647554877822558,13
pcr#1,0.038173938484994445,0.4701774738813476,13
pcr#2,0.038173938484994445,0.4701774738813476,13
pls#1,0.3316228303110119,0.46620731318516506,13
pls#2,0.29086042061813777,0.4764723241613069,13
rf#1,0.09517798386482768,0.4651914543080123,13
rf#2,0.12133662383573075,0.47370720228614116,13
ridge#1,0.15916370198040933,0.45452713695912295,13
ridge#2,0.15837650252802635,0.4544209666837217,13
