model,IC_mean,IC_std,N
L-En,0.16106944771688023,0.4711750884892268,18
N-En,0.1392338686885921,0.47589826489119713,18
elasticnet#1,0.1484337966645381,0.4870474150237249,18
elasticnet#2,0.1446323143464053,0.4838234299344913,18
ffn#1,0.16655244085580104,0.47999461298695756,18
ffn#2,0.17597816682539577,0.4604498228392389,18
lasso#1,0.14560222090204253,0.4829943767545731,18
lasso#2,0.14325800485008156,0.4838046582366609,18
lgbm_dart#1,0.13307511723825774,0.45721288919271386,18
lgbm_dart#2,0.15782665548255453,0.45202056734062124,18
lgbm_gbdt#1,0.1419877130422054,0.45128805123373517,18
lgbm_gbdt#2,0.1378293699939357,0.4585644954661599,18
pcr#1,0.010837186601571507,0.43110709547218634,18
pcr#2,0.010837186601571507,0.43110709547218634,18
pls#1,0.17467812998470253,0.44710986492050836,18
pls#2,0.17048821203539358,0.4506082784938819,18
rf#1,0.1451819555299725,0.4782499247772894,18
rf#2,0.13253859786838743,0.45695242388422286,18
ridge#1,0.13597272029800833,0.47959452033848515,18
ridge#2,0.13660758814037055,0.47931192957450114,18
