model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
lgbm_dart#2,0.050594,0.030446,0.70917,0.842185,0.050364
N-En,0.048996,0.03682,1.525309,1.057472,0.069095
lgbm_gbdt#1,0.033019,0.022729,0.82533,0.513303,0.059934
L-En,0.026246,0.015534,2.598364,1.561634,0.035563
rf#2,0.016326,0.025105,1.939466,1.045783,0.051488
elasticnet#2,0.014262,0.014799,2.387405,1.704163,0.030852
pcr#1,0.007718,-0.000206,-1.322188,-0.306347,-0.0033
lasso#2,0.007036,0.014136,2.442035,1.715364,0.028535
ffn#1,-0.058793,0.03031,-0.383875,1.166288,-0.001284
pls#2,-0.086181,-0.039444,0.085297,-0.309801,-0.000389
ridge#1,-0.097952,0.014218,-2.455012,1.05712,-0.053005
