model,IC_mean,IC_std,N
L-En,-0.08387912598751089,0.48238478581317884,47
N-En,-0.036730477682339696,0.5023289276868499,47
elasticnet#2,-0.09914799323211726,0.47573814560112326,47
ffn#1,0.03079980057645216,0.503375688419362,47
lasso#2,-0.10085021436165457,0.4711182435627506,47
lgbm_dart#2,-0.05588348771790499,0.3917014673070391,47
lgbm_gbdt#1,-0.1006580067728073,0.4373273378619728,47
pcr#1,0.0523470824040472,0.48098779653870566,47
pls#2,-0.06278639875100554,0.46832795251564724,47
rf#2,-0.11872148698843683,0.42196928560241265,47
ridge#1,-0.07790930713618685,0.4684272242185363,47
