model,N,mean,vol,Sharpe_ann,Hit_ratio
L-En,47,0.147313,0.451114,2.238742,0.638298
N-En,47,0.144422,0.497433,1.990433,0.553191
elasticnet#2,47,0.143115,0.379763,2.583587,0.617021
ffn#1,47,0.184641,0.56873,2.225722,0.595745
lasso#2,47,0.13672,0.379262,2.471389,0.617021
lgbm_dart#2,47,0.096177,0.356913,1.847386,0.489362
lgbm_gbdt#1,47,0.115592,0.38323,2.067848,0.531915
pcr#1,47,-0.08366,0.651061,-0.880941,0.404255
pls#2,47,0.109404,0.552222,1.358211,0.617021
rf#2,47,0.071503,0.32265,1.519303,0.510638
ridge#1,47,0.143619,0.371512,2.650262,0.574468
