model,R2_OS,R2_OS_XS,CW_t,CW_t_XS,R2_OS_day,R2_OS_winsor
lgbm_gbdt#1,0.133713,0.08272,2.122819,1.777236,0.205161,0.133713
N-En,0.124258,0.08239,2.412583,2.15603,0.191195,0.124258
ffn#1,0.12046,0.095196,2.101604,2.614943,0.216271,0.12046
pls#2,0.117711,0.064767,2.488525,2.394183,0.169455,0.117711
rf#2,0.109623,0.069808,2.751997,2.038202,0.14857,0.109623
lgbm_dart#2,0.101951,0.09076,2.010095,2.048705,0.159285,0.101951
L-En,0.062692,0.033996,2.550828,2.83317,0.091082,0.062692
elasticnet#2,0.05737,0.032307,2.3683,2.928371,0.087925,0.05737
lasso#2,0.056586,0.031073,2.513147,2.883014,0.081831,0.056586
ridge#1,0.046806,0.04083,1.518064,2.629478,0.076485,0.046806
pcr#1,-0.008073,-0.000183,-2.791689,-2.18615,-0.009789,-0.008073
