model,R2_OS_w,R2_OS_w_XS,CW_t_w,CW_t_w_XS,R2_OS_Raw
N-En,0.070457,0.063409,1.692735,0.874526,0.124258
rf#2,0.058886,0.058175,1.856893,0.527877,0.109623
lgbm_gbdt#1,0.054575,0.061275,1.559865,0.490838,0.133713
lgbm_dart#2,0.036164,0.058584,1.353358,0.502212,0.101951
elasticnet#2,0.033389,0.035164,1.51275,1.949339,0.05737
ffn#1,0.030431,0.053478,1.397668,1.319932,0.12046
lasso#2,0.030176,0.032665,1.581341,1.945272,0.056586
L-En,0.024143,0.028252,1.563698,1.583698,0.062692
ridge#1,0.004129,0.040653,0.945341,1.539035,0.046806
pcr#1,-0.000954,-0.000364,-1.311626,-1.730617,-0.008073
pls#2,-0.178788,-0.025186,1.164651,-0.025746,0.117711
